charTrigrams,wordBigrams,wordUnigrams
er,,i
st,n t,s
tur,turkish armi,we
ay,allah give,the
 re,it s,turkish
urk,may allah,turkey
 co,start oper,day
 st,i m,n
t s,are readi,go
 tu,good day,t
the,turkish soldier,world
an,do n,love
rea,how mani,you
 wa,armi start,like
day,give victori,good
nd,oper may,time
 th,give strength,come
est,spring shield,it
ar,happi good,armi
 ma,first time,peopl
 go,match day,one
t t,armi world,oper
nt,let s,allah
 wo,whi alway,watch
 pr,alway send,see
it,send poor,syria
at,we come,today
sta,protect turkish,war
ve,the hero,a
 li,hero turkish,amp
on,strength allah,first
e s,game drone,happi
sh,poor whi,show
ish,hear sound,best
n t,turkish air,readi
he,air forc,start
et,allah protect,may
ter,assad regim,take
me,good luck,give
com,fighter jet,look
re,wo n,peac
 da,gon na,air
 he,good morn,great
ome,i love,soldier
 s,would like,do
 se,welcom to,turk
ch,keep calm,get
ey,day trabzonspor,stop
 lo,medic park,they
 in,park stadium,regim
or,chines peopl,thi
we,turkish forc,let
 be,the war,for
ent,one day,su
ng,the world,new
 ch,bring peac,us
kis,heroic turkish,hell
ke,shot turkish,morn
art,go ahead,china
 ca,ahead crush,drone
ri,crush enemi,forc
 pe,enemi may,say
 de,soldier ameen,know
 we,turkey s,welcom
in,i like,no
wor,syrian regim,fight
ght,oper spring,believ
all,russian su,countri
rt,stop death,video
rki,you re,syrian
 so,i n,are
igh,ca n,much
per,no comment,back
 i,comment need,my
for,need no,last
 al,no talk,make
th,talk need,way
 ba,need just,wait
ow,just look,need
 ne,look pictur,m
ear,pictur see,next
 fi,see realiti,team
ll,day friend,galatasaray
od,first day,technolog
pro,best galatasaray,power
 mo,bam bam,win
ct,to hell,re
eat,welcom hell,what
 ar,stadium bein,he
eve,bein sport,project
t w,demo flight,dont
 mi,largest technolog,assad
 sa,technolog festiv,protect
ld,aviat space,spring
r s,space technolog,live
 te,we didnt,end
ead,we said,life
rke,said dont,miss
ood,hello world,chines
en,you know,viru
 sh,boom boom,want
t a,t forget,in
ver,muslim countri,attack
 vi,kill innoc,border
 ta,innoc muslim,thank
ove,video record,god
key,record drone,how
h a,we nation,mani
 fo,whi dont,proud
con,dont presid,victori
t c,presid fight,there
 su,fight war,year
ck,war whi,two
 to,power armi,intern
i s,we fight,mood
ne,we n,fli
her,t know,istanbul
end,terrorist assad,match
war,for long,came
al,long time,game
ope,time use,strong
li,use much,be
ad,much fear,nation
one,fear hear,whi
e w,sound warplan,alway
 le,warplan sky,friend
 ha,sky today,d
e t,today re,russian
tch,re sure,is
t l,sure warplan,talk
res,warplan hear,must
ss,sound go,week
tim,go bomb,coupl
