correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
get ready golden age is coming saint ram pal bi will bring the new era full of peace and prosperity," 
Get Ready!
.
Golden age is coming..
.
.
Saint Rampal ji will bring the new era full of peace and prosperity.

  ",0,0,20,4.0,1.5789473684210527,"[(('t', ' ', 'r'), 2), (('i', 'n', 'g'), 2), (('n', 'g', ' '), 2), (('l', ' ', 'b'), 2), (('l', 'l', ' '), 2)]","[(('get', 'ready'), 1), (('ready', 'golden'), 1), (('golden', 'age'), 1), (('age', 'is'), 1), (('is', 'coming'), 1)]",['NewEra_By_SaintRampalJi'],"['https://t.co/MM2IoxNQEX', 'https://t.co/bf14W9bmRS']",[],1,0,0,30.0,0,2,15.0,5.0,0,20.0,5.0,0,0,5.0,0,0,20.0,25.0,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
yes friends i want to tell everyone that is coming,"
Yes...friends I want to tell everyone that  is Coming
 ",1,0,10,4.1,0.15,"[(('y', 'e', 's'), 1), (('e', 's', ' '), 1), (('s', ' ', 'f'), 1), ((' ', 'f', 'r'), 1), (('f', 'r', 'i'), 1)]","[(('yes', 'friends'), 1), (('friends', 'i'), 1), (('i', 'want'), 1), (('want', 'to'), 1), (('to', 'tell'), 1)]","['NewEra_By_SaintRampalJi', '_']",['https://t.co/4qEVjFG4Y6'],[],2,0,0,10.0,0,1,0,0,10.0,20.0,20.0,10.0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
kabir is supreme god," 
Kabir is supreme God ",0,0,4,4.25,0.375,"[(('k', 'a', 'b'), 1), (('a', 'b', 'i'), 1), (('b', 'i', 'r'), 1), (('i', 'r', ' '), 1), (('r', ' ', 'i'), 1)]","[(('kabir', 'is'), 1), (('is', 'supreme'), 1), (('supreme', 'god'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/jBfhqZKuPp'],[],1,0,0,0,0,1,25.0,0,0,0,0,0,0,0,0,0,50.0,25.0,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
india vishwaguru with the knowledge of saint ram pal bi maharaj the boundaries of the world and countries will end every day from 7 30 on sadhana av,"India VishwaGuru
With the knowledge of Saint Rampal Ji Maharaj, the boundaries of the world and countries will end.

Everyday from 7:30 on Sadhana TV. ",0,0,28,4.321428571428571,2.2884615384615383,"[((' ', 't', 'h'), 3), (('t', 'h', 'e'), 3), (('h', 'e', ' '), 3), ((' ', 'w', 'i'), 2), ((' ', 'o', 'f'), 2)]","[(('india', 'vishwaguru'), 1), (('vishwaguru', 'with'), 1), (('with', 'the'), 1), (('the', 'knowledge'), 1), (('knowledge', 'of'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/Dc7zkkjwFj'],[],1,0,0,10.714285714285714,0,1,0,10.714285714285714,0,24.999999999999993,17.857142857142854,0,0,3.571428571428571,0,0,24.999999999999993,3.571428571428571,3.571428571428571,0,0,0,0,0,0,Indo-Aryan,Indian, 
no drugs no intoxicants better civil society disciples of saint ram pal bi do not consume drugs or intoxicants these are the glimpses of a changing world amp saint ram pal bi is bringing about this change," 
No drugs, no intoxicants, better civil society. 
Disciples of Saint Rampal Ji do not consume drugs or intoxicants. These are the glimpses of a changing world &amp; Saint Rampal Ji is bringing about this change.
 
 
 ",0,0,37,4.54054054054054,1.9857142857142858,"[(('i', 'n', 't'), 4), (('s', ' ', 'o'), 3), ((' ', 't', 'h'), 3), (('i', 'n', 'g'), 3), (('n', 'o', ' '), 2)]","[(('saint', 'rampal'), 2), (('rampal', 'ji'), 2), (('no', 'drugs'), 1), (('drugs', 'no'), 1), (('no', 'intoxicants'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/J8gWwc4PYP'],"['@SaintRampalJiM', '@satlok999', '@Satlok333']",1,0,0,13.513513513513512,0,1,2.7027027027027026,10.81081081081081,2.7027027027027026,24.32432432432432,8.108108108108109,2.7027027027027026,5.405405405405405,5.405405405405405,0,0,16.216216216216214,16.216216216216214,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
right now we are divided in the name of caste religion etc but as kant ram pal bi said golden time is coming the whole world will be bound in the thread of humanity new year message for all delhi citizen,"
Right now we are divided in the name of caste, religion, etc, but As Sant Rampal Ji said: Golden time is coming,
the whole world will be bound in the thread of humanity.
New Year Message For All Delhi Citizen 
",0,0,41,3.975609756097561,1.6125,"[((' ', 't', 'h'), 4), (('n', ' ', 't'), 3), (('t', 'h', 'e'), 3), (('h', 'e', ' '), 3), (('d', ' ', 'i'), 2)]","[(('in', 'the'), 2), (('right', 'now'), 1), (('now', 'we'), 1), (('we', 'are'), 1), (('are', 'divided'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/oeoDaEFvlv'],[],1,0,0,14.634146341463415,0,1,7.317073170731707,9.75609756097561,0,26.829268292682922,14.634146341463415,2.4390243902439024,4.878048780487805,2.4390243902439024,0,0,12.195121951219512,17.073170731707318,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
due to dowry taken in marriage daughters are burden on the society but by the knowledge of kant ram pal bi maharaj dowry will be completely eliminated and people will get married in a simple way,"
Due to dowry taken in marriage, daughters are burden on the society, but by the knowledge of Sant Rampal Ji Maharaj, dowry will be completely eliminated and people will get married in a simple way. ",0,0,36,4.416666666666667,1.6,"[((' ', 'm', 'a'), 3), (('p', 'l', 'e'), 3), ((' ', 'd', 'o'), 2), (('d', 'o', 'w'), 2), (('o', 'w', 'r'), 2)]","[(('due', 'to'), 1), (('to', 'dowry'), 1), (('dowry', 'taken'), 1), (('taken', 'in'), 1), (('in', 'marriage'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/JWq1nm16sb'],[],1,0,0,11.11111111111111,0,1,5.555555555555555,8.333333333333332,0,22.222222222222225,16.666666666666668,0,2.7777777777777777,5.555555555555555,0,0,11.11111111111111,25.000000000000004,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
ram pal bi maharaj bi and his followers are on struggle to make this world free from all social editions and bringing in kalyug, Rampal Ji Maharaj ji and his followers are on struggle to make this world free from all social editions and bringing  in Kalyug.  ,0,0,24,4.333333333333333,2.9347826086956523,"[(('a', 'l', ' '), 2), ((' ', 'b', 'i'), 2), (('b', 'i', ' '), 2), ((' ', 'm', 'a'), 2), ((' ', 'a', 'n'), 2)]","[(('rampal', 'ji'), 1), (('ji', 'maharaj'), 1), (('maharaj', 'ji'), 1), (('ji', 'and'), 1), (('and', 'his'), 1)]","['NewEra_By_SaintRampalJi', '_']","['https://t.co/1WFQd2yMCe', 'https://t.co/P4hqvIhwZk']",[],2,0,0,4.166666666666666,0,2,8.333333333333332,12.499999999999998,0,16.666666666666664,16.666666666666664,0,0,8.333333333333332,0,0,20.83333333333333,12.499999999999998,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
golden time is coming all humans of the world will be vegetarian no animals will be killed for the taste of tongue,"
Golden Time Is Coming
All humans of the world will be vegetarian. No animals will be killed for the taste of tongue.
",0,0,22,4.2272727272727275,0.13636363636363635,"[(('l', 'l', ' '), 3), (('i', 'l', 'l'), 3), ((' ', 'o', 'f'), 2), (('o', 'f', ' '), 2), (('f', ' ', 't'), 2)]","[(('will', 'be'), 2), (('golden', 'time'), 1), (('time', 'is'), 1), (('is', 'coming'), 1), (('coming', 'all'), 1)]",['NewEra_By_SaintRampalJi'],['https://t.co/pf4ktwrHAU'],[],1,0,0,9.090909090909092,0,1,9.090909090909092,18.181818181818183,0,27.272727272727277,13.636363636363637,0,0,0,0,0,0,31.818181818181824,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
it s show time,"It's show time.
   ",0,0,4,2.75,0.375,"[(('i', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 's'), 1), ((' ', 's', 'h'), 1)]","[(('it', 's'), 1), (('s', 'show'), 1), (('show', 'time'), 1)]","['RamRajya_Is_Coming', 'NewEra_By_SaintRampalJi']",['https://t.co/e9shXBO88u'],[],2,0,0,25.0,0,1,0,0,0,50.0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
