correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
neuter looking for a better goalkeeper like,"NEUER!   

Looking for a better goalkeeper like... ",1,1,7,5.285714285714286,0.21428571428571427,"[(('e', 'r', ' '), 3), (('t', 'e', 'r'), 2), (('r', ' ', 'l'), 2), (('n', 'e', 'u'), 1), (('e', 'u', 't'), 1)]","[(('neuer', 'looking'), 1), (('looking', 'for'), 1), (('for', 'a'), 1), (('a', 'better'), 1), (('better', 'goalkeeper'), 1)]",['AUTGER'],['https://t.co/dp1kwoGKiz'],[],1,0,0,28.57142857142857,0,1,14.285714285714285,14.285714285714285,0,14.285714285714285,28.57142857142857,0,0,0,0,0,14.285714285714285,14.285714285714285,0,0,0,0,0,0,0,Germanic,German, 
he s back 0 1,"He's back 

   0-1 ",0,0,5,1.8,0.4,"[(('h', 'e', ' '), 1), (('e', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'b'), 1), ((' ', 'b', 'a'), 1)]","[(('he', 's'), 1), (('s', 'back'), 1), (('back', '0'), 1), (('0', '1'), 1)]","['DieMannschaft', 'ZSMMN', 'AUTGER']",['https://t.co/d6pBzzPWf2'],[],3,0,0,0,0,1,20.0,0,0,0,0,0,0,0,20.0,0,0,0,20.0,0,0,0,0,0,0,Germanic,German, 
jumping towards like,Jumping towards  like ...   ,1,0,3,6.0,0.0,"[(('j', 'u', 'm'), 1), (('u', 'm', 'p'), 1), (('m', 'p', 'i'), 1), (('p', 'i', 'n'), 1), (('i', 'n', 'g'), 1)]","[(('jumping', 'towards'), 1), (('towards', 'like'), 1)]","['AUTGER', 'da27']",['https://t.co/Rx8ouuhjvd'],[],2,0,0,33.33333333333333,0,1,0,0,0,0,66.66666666666666,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Germanic,German, 
class is permanent 0 1,"Class is permanent  

   0-1 ",0,0,5,3.6,0.2,"[(('c', 'l', 'a'), 1), (('l', 'a', 's'), 1), (('a', 's', 's'), 1), (('s', 's', ' '), 1), (('s', ' ', 'i'), 1)]","[(('class', 'is'), 1), (('is', 'permanent'), 1), (('permanent', '0'), 1), (('0', '1'), 1)]","['NeuerTheWall', 'DieMannschaft', 'ZSMMN', 'AUTGER']",['https://t.co/tTrcfVYNG5'],[],4,0,0,0,0,1,20.0,0,0,20.0,0,0,0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,Germanic,German, 
game over our first dress rehearsal ends in defeat in austria 2 1,"Game over  Our first  dress rehearsal ends in defeat in Austria 

   2-1 ",0,0,13,4.076923076923077,0.2692307692307692,"[((' ', 'i', 'n'), 2), (('i', 'n', ' '), 2), (('g', 'a', 'm'), 1), (('a', 'm', 'e'), 1), (('m', 'e', ' '), 1)]","[(('game', 'over'), 1), (('over', 'our'), 1), (('our', 'first'), 1), (('first', 'dress'), 1), (('dress', 'rehearsal'), 1)]","['WorldCup', 'DieMannschaft', 'ZSMMN', 'AUTGER']",['https://t.co/lq9GAUs7TX'],[],4,0,0,0,0,1,7.6923076923076925,7.6923076923076925,0,30.76923076923077,23.076923076923077,0,0,0,0,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,0,0,0,0,0,Germanic,German, 
great to see make his comeback after 259 days,Great to see  make his comeback after 259 days!    ,0,1,9,4.111111111111111,0.16666666666666666,"[(('g', 'r', 'e'), 1), (('r', 'e', 'a'), 1), (('e', 'a', 't'), 1), (('a', 't', ' '), 1), (('t', ' ', 't'), 1)]","[(('great', 'to'), 1), (('to', 'see'), 1), (('see', 'make'), 1), (('make', 'his'), 1), (('his', 'comeback'), 1)]","['NeuerTheWall', 'AUTGER']",['https://t.co/jZSgJYhn7r'],['@Manuel_Neuer'],2,0,0,11.11111111111111,0,1,11.11111111111111,11.11111111111111,0,22.22222222222222,22.22222222222222,0,0,0,0,0,0,22.22222222222222,11.11111111111111,0,0,0,0,0,0,Germanic,German, 
what a hit from waldschmidt 14 0 1,"WHAT A HIT FROM WALDSCHMIDT 

  (14') 0-1 ",0,4,8,3.375,0.3125,"[(('w', 'h', 'a'), 1), (('h', 'a', 't'), 1), (('a', 't', ' '), 1), (('t', ' ', 'a'), 1), ((' ', 'a', ' '), 1)]","[(('what', 'a'), 1), (('a', 'hit'), 1), (('hit', 'from'), 1), (('from', 'waldschmidt'), 1), (('waldschmidt', '14'), 1)]","['U21EURO', 'AUTGER']",['https://t.co/DTqmSFAhjd'],[],2,0,0,37.5,0,1,0,12.5,0,12.5,12.5,12.5,0,0,0,0,12.5,0,25.0,0,0,0,0,0,0,Germanic,German, 
starts a marco zeus prayer circle rt to be in the circle,"*starts a Marco Reus prayer circle*

rt to be in the circle

",0,0,12,3.75,0.33333333333333337,"[((' ', 'c', 'i'), 2), (('c', 'i', 'r'), 2), (('i', 'r', 'c'), 2), (('r', 'c', 'l'), 2), (('c', 'l', 'e'), 2)]","[(('starts', 'a'), 1), (('a', 'marco'), 1), (('marco', 'reus'), 1), (('reus', 'prayer'), 1), (('prayer', 'circle'), 1)]",['autger'],[],[],1,0,0,16.666666666666664,0,0,0,16.666666666666664,0,24.999999999999996,16.666666666666664,0,0,0,0,0,16.666666666666664,24.999999999999996,0,0,0,0,0,0,0,Germanic,German, 
it s like he never left,It's like he never left     ,0,0,6,3.0,0.4166666666666667,"[(('i', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'l'), 1), ((' ', 'l', 'i'), 1)]","[(('it', 's'), 1), (('s', 'like'), 1), (('like', 'he'), 1), (('he', 'never'), 1), (('never', 'left'), 1)]","['NeuerTheWall', 'AUTGER']",['https://t.co/YfDrvwGFiw'],[],2,0,0,0,0,1,0,0,0,0,16.666666666666664,16.666666666666664,16.666666666666664,0,16.666666666666664,0,0,16.666666666666664,0,0,0,0,0,0,0,Germanic,German, 
welcome back bleib gerund," Welcome back, ! Bleib gesund!   ",0,0,4,5.5,0.5,"[(('w', 'e', 'l'), 1), (('e', 'l', 'c'), 1), (('l', 'c', 'o'), 1), (('c', 'o', 'm'), 1), (('o', 'm', 'e'), 1)]","[(('welcome', 'back'), 1), (('back', 'bleib'), 1), (('bleib', 'gesund'), 1)]",['AUTGER'],['https://t.co/xuCHkVF5fA'],['@woodyinho!'],1,0,0,75.0,0,1,0,0,0,0,0,0,25.0,0,0,0,50.0,25.0,0,0,0,0,0,0,0,Germanic,German, 
