correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
billboard update chart dated march 14 2020 hot 100 by 64 cb 200 2 artists 100 2 keep streaming arms,"Billboard  Update
Chart dated March 14, 2020

Hot 100
  by  (-64)

BB 200
  (-2) 

Artist 100
  (-2) 

Keep streaming, ARMYs! 
   ",0,5,20,4.0,0.6499999999999999,"[(('0', '0', ' '), 3), (('d', 'a', 't'), 2), (('a', 't', 'e'), 2), (('a', 'r', 't'), 2), ((' ', '2', '0'), 2)]","[(('billboard', 'update'), 1), (('update', 'chart'), 1), (('chart', 'dated'), 1), (('dated', 'march'), 1), (('march', '14'), 1)]","['68', 'ON', '3', 'MapOfTheSoul7', '3', 'BTS', 'BoyWithLuv', 'BestMusicVideo', 'iHeartAwards']",['https://t.co/bTgtg8mect'],['@BTS_twt'],9,0,0,30.0,0,1,5.0,0,0,10.0,5.0,0,0,0,0,0,25.0,15.0,40.0,0,0,0,0,0,0,Germanic,English, 
there is only one lin,There is only one JIN         ,0,1,5,3.4,0.30000000000000004,"[((' ', 'o', 'n'), 2), (('t', 'h', 'e'), 1), (('h', 'e', 'r'), 1), (('e', 'r', 'e'), 1), (('r', 'e', ' '), 1)]","[(('there', 'is'), 1), (('is', 'only'), 1), (('only', 'one'), 1), (('one', 'jin'), 1)]","['BestMusicVideo', 'BoyWithLuv', 'iHeartAwards']",['https://t.co/vDW7Xf1nBS'],['@BTS_twt'],3,0,0,0,0,1,20.0,0,0,0,0,0,0,0,0,0,20.0,20.0,20.0,0,0,20.0,0,0,0,Germanic,English, 
bob cross is trending,"BOB ROSS is trending  
    ",0,2,4,4.5,0.375,"[(('b', 'o', 'b'), 1), (('o', 'b', ' '), 1), (('b', ' ', 'c'), 1), ((' ', 'c', 'r'), 1), (('c', 'r', 'o'), 1)]","[(('bob', 'ross'), 1), (('ross', 'is'), 1), (('is', 'trending'), 1)]","['BoyWithLuv', 'BestMusicVideo', 'iHeartAwards']",['https://t.co/44216qYdL3'],['@BTS_twt'],3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.0,50.0,0,0,0,0,0,0,0,Germanic,English, 
imagine ats performing on in concert in front of 80 000 army,"Imagine BTS performing ON in concert in front of 80,000 ARMY         ",1,3,12,4.083333333333333,0.5416666666666666,"[((' ', 'i', 'n'), 2), (('i', 'n', ' '), 2), (('i', 'm', 'a'), 1), (('m', 'a', 'g'), 1), (('a', 'g', 'i'), 1)]","[(('imagine', 'bts'), 1), (('bts', 'performing'), 1), (('performing', 'on'), 1), (('on', 'in'), 1), (('in', 'concert'), 1)]","['BestMusicVideo', 'BoyWithLuv', 'iHeartAwards']",['https://t.co/gF8HwIrTA2'],['@BTS_twt'],3,0,0,0,0,1,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,16.666666666666664,8.333333333333332,0,0,0,0,0,0,Germanic,English, 
reminder for arms to tag to your posts that is about ats don t waste your post its very useful for social 50,"REMINDER,
for Armys to tag  
to your posts that is about (Bts.)

Don't waste your post its very 
  useful for Social 50!

(  
 ) ",0,1,23,3.739130434782609,0.1956521739130435,"[(('t', 's', ' '), 3), ((' ', 'f', 'o'), 2), (('f', 'o', 'r'), 2), (('o', 'r', ' '), 2), (('s', ' ', 't'), 2)]","[(('reminder', 'for'), 1), (('for', 'armys'), 1), (('armys', 'to'), 1), (('to', 'tag'), 1), (('tag', 'to'), 1)]","['iheartAwards', 'BoyWithLuv', 'BestMusicVideo']",['https://t.co/QTVKqRPSge'],['@BTS_twt'],3,0,0,30.434782608695656,0,1,8.695652173913043,8.695652173913043,0,17.391304347826086,26.086956521739133,0,4.3478260869565215,0,4.3478260869565215,0,4.3478260869565215,17.391304347826086,4.3478260869565215,0,0,0,0,0,0,Greek,Greek, 
due to our lazy asses we are here with a small almost nonexistent gap and y all still don t bother to rt r3ply with the hashta6,"due to our lazy asses we are here with a small, almost nonexistent, gap and y'all still don't bother to RT + R3PLY with the hashta6 

   

",0,1,27,3.740740740740741,0.14814814814814814,"[(('l', 'l', ' '), 3), ((' ', 't', 'o'), 2), (('t', 'o', ' '), 2), (('y', ' ', 'a'), 2), (('r', 'e', ' '), 2)]","[(('due', 'to'), 1), (('to', 'our'), 1), (('our', 'lazy'), 1), (('lazy', 'asses'), 1), (('asses', 'we'), 1)]","['BoyWithLuv', 'BestMusicVideo', 'iHeartAwards']",['https://t.co/QiAJ8GF1ir'],['@BTS_twt'],3,0,0,7.4074074074074066,0,1,14.814814814814813,11.11111111111111,0,11.11111111111111,14.814814814814813,7.4074074074074066,11.11111111111111,7.4074074074074066,0,0,3.7037037037037033,14.814814814814813,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
the gap is so close re tweet reply with keyword ugh hash tag," The Gap is So Close 
 
RETWEET, REPLY with keyword 'UGH ' 
+ HASHTAG    

",0,4,13,3.6923076923076925,1.6818181818181817,"[((' ', 'r', 'e'), 2), (('t', 'h', 'e'), 1), (('h', 'e', ' '), 1), (('e', ' ', 'g'), 1), ((' ', 'g', 'a'), 1)]","[(('the', 'gap'), 1), (('gap', 'is'), 1), (('is', 'so'), 1), (('so', 'close'), 1), (('close', 'retweet'), 1)]","['BoyWithLuv', 'BestMusicVideo', 'iHeartAwards']",['https://t.co/NcjItsZ0tl'],['@BTS_twt'],3,0,0,23.076923076923077,0,1,0,7.6923076923076925,7.6923076923076925,15.384615384615385,7.6923076923076925,0,15.384615384615385,7.6923076923076925,0,0,7.6923076923076925,23.076923076923077,0,0,0,0,0,0,0,Indo-Aryan,Indian, 
the love letter from ats to army boy with guv,"

The love letter from BTS to ARMY 

Boy With Luv

 
 
 

 ",0,2,10,3.6,0.30000000000000004,"[(('e', ' ', 'l'), 2), (('t', 'h', 'e'), 1), (('h', 'e', ' '), 1), ((' ', 'l', 'o'), 1), (('l', 'o', 'v'), 1)]","[(('the', 'love'), 1), (('love', 'letter'), 1), (('letter', 'from'), 1), (('from', 'bts'), 1), (('bts', 'to'), 1)]","['BestMusicVideo', 'BoyWithLuv', 'iHeartAwards']",['https://t.co/aX9LvzT0jH'],['@BTS_twt'],3,0,0,0,0,1,0,10.0,0,50.0,30.0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
lead singer of the biggest band in the world,Lead singer of the Biggest Band in the World         ,0,0,9,4.0,0.16666666666666666,"[((' ', 't', 'h'), 2), (('t', 'h', 'e'), 2), (('h', 'e', ' '), 2), (('l', 'e', 'a'), 1), (('e', 'a', 'd'), 1)]","[(('lead', 'singer'), 1), (('singer', 'of'), 1), (('of', 'the'), 1), (('the', 'biggest'), 1), (('biggest', 'band'), 1)]","['BestMusicVideo', 'BoyWithLuv', 'iHeartAwards']",['https://t.co/SMJLw22j2s'],['@BTS_twt'],3,0,0,0,0,1,22.22222222222222,22.22222222222222,0,33.33333333333333,22.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germanic,English, 
lin always looking after the babies,JIN always looking after the babies       ,0,1,6,5.0,0.25,"[(('l', 'i', 'n'), 1), (('i', 'n', ' '), 1), (('n', ' ', 'a'), 1), ((' ', 'a', 'l'), 1), (('a', 'l', 'w'), 1)]","[(('jin', 'always'), 1), (('always', 'looking'), 1), (('looking', 'after'), 1), (('after', 'the'), 1), (('the', 'babies'), 1)]","['iHeartAwards', 'BoyWithLuv', 'BestMusicVideo']",['https://t.co/i96C4oc6vs'],['@BTS_twt'],3,0,0,0,0,1,0,16.666666666666664,0,16.666666666666664,16.666666666666664,0,16.666666666666664,0,0,0,16.666666666666664,16.666666666666664,0,0,0,0,0,0,0,Germanic,English, 
