correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
maybe am too canadian but ave watched this a dozen times to see if robinson said he was sorry and man does this guy have some terrible manners,Maybe Im too Canadian but Ive watched this a dozen times to see if Robinson said he was sorry and man does this guy have some terrible manners.  ,0,0,28,4.107142857142857,0.2142857142857143,"[((' ', 't', 'o'), 2), (('a', 'n', ' '), 2), (('a', 'v', 'e'), 2), (('v', 'e', ' '), 2), (('e', ' ', 'w'), 2)]","[(('maybe', 'im'), 1), (('im', 'too'), 1), (('too', 'canadian'), 1), (('canadian', 'but'), 1), (('but', 'ive'), 1)]",['titansvschiefs'],['https://t.co/z5QrX5vSIt'],[],1,0,0,3.571428571428571,0,1,10.714285714285714,10.714285714285714,0,17.857142857142854,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,0,3.571428571428571,21.428571428571423,0,0,0,0,0,0,0,Germanic,English, 
get innnnnnnn we are going to the super bowl ma homes tyreek watkins williams mathieu and of course big andy reid all just quality tonight lets go chiefs one more game,"GET INNNNNNNN...
WE ARE GOING TO THE SUPER BOWL!

MAHOMES 
TYREEK 
WATKINS 
WILLIAMS 
MATHIEU 
... And of course Big ANDY REID!! 

All just Quality tonight!! 

LETS GO CHIEFS! One more Game! 
    ",2,16,31,4.419354838709677,2.0166666666666666,"[(('n', 'n', 'n'), 6), (('r', 'e', ' '), 2), (('e', ' ', 'g'), 2), ((' ', 'g', 'o'), 2), ((' ', 't', 'o'), 2)]","[(('get', 'innnnnnnn'), 1), (('innnnnnnn', 'we'), 1), (('we', 'are'), 1), (('are', 'going'), 1), (('going', 'to'), 1)]","['titansvschiefs', 'ChiefsKingdom', 'AFCChamps', 'SuperBowlLIV']",['https://t.co/hyhcP2bfQU'],[],4,0,0,22.580645161290324,0,1,9.677419354838708,6.451612903225806,0,12.903225806451612,6.451612903225806,3.225806451612903,3.225806451612903,3.225806451612903,3.225806451612903,0,25.806451612903228,12.903225806451612,3.225806451612903,3.225806451612903,3.225806451612903,0,0,0,0,Germanic,English, 
live footage of patrick ma homes girlfriend heading down to the field to congratulate her man,Live footage of Patrick Mahomes girlfriend heading down to the field to congratulate her man.  ,0,0,16,4.875,2.3333333333333335,"[(('e', ' ', 'f'), 2), ((' ', 'm', 'a'), 2), ((' ', 'h', 'e'), 2), ((' ', 't', 'o'), 2), (('t', 'o', ' '), 2)]","[(('live', 'footage'), 1), (('footage', 'of'), 1), (('of', 'patrick'), 1), (('patrick', 'mahomes'), 1), (('mahomes', 'girlfriend'), 1)]",['titansvschiefs'],['https://t.co/cNXMzyRsDs'],[],1,0,0,6.25,0,1,6.25,12.5,0,25.0,18.75,0,6.25,0,0,0,12.5,12.5,0,0,0,0,0,0,0,Germanic,English, 
patrick mahomess girlfriend is going to ruin the super bowl,"Patrick Mahomess girlfriend is going to ruin the Super Bowl.  
  
",0,0,10,5.0,0.25,"[(('s', ' ', 'g'), 2), (('p', 'a', 't'), 1), (('a', 't', 'r'), 1), (('t', 'r', 'i'), 1), (('r', 'i', 'c'), 1)]","[(('patrick', 'mahomess'), 1), (('mahomess', 'girlfriend'), 1), (('girlfriend', 'is'), 1), (('is', 'going'), 1), (('going', 'to'), 1)]","['titansvschiefs', 'TENvsKC']",['https://t.co/4ZB6nO2rN7'],[],2,0,0,10.0,0,1,0,10.0,0,10.0,10.0,0,0,0,0,0,40.0,30.0,0,0,0,0,0,0,0,Germanic,English, 
what my neighbors see on a daily basis ill be live all this week on make your appointment now,"What my neighbors see on a daily basis  

Ill be LIVE ALL this week on  make your appointment now 





    ",0,2,19,3.9473684210526314,0.2631578947368421,"[((' ', 'o', 'n'), 2), (('o', 'n', ' '), 2), (('i', 's', ' '), 2), (('l', 'l', ' '), 2), (('w', 'h', 'a'), 1)]","[(('what', 'my'), 1), (('my', 'neighbors'), 1), (('neighbors', 'see'), 1), (('see', 'on'), 1), (('on', 'a'), 1)]","['aaronhernandeznetflix', 'My20YearOldSelfIn5Words', 'SeduceSomeoneIn4Words', 'TennesseeTitans', 'Packersvs49ers', 'titansvschiefs']","['https://t.co/1J6VFfgx2q', 'https://t.co/KGbWdkiGqo']",['@ChatTimeNow'],6,0,0,0,0,2,10.526315789473683,26.31578947368421,0,21.052631578947366,10.526315789473683,5.263157894736842,5.263157894736842,0,5.263157894736842,0,0,15.789473684210524,0,0,0,0,0,0,0,Germanic,English, 
in an effort to relax his cb vrabel fired up his old personal use ipad and showed aryan tannehill pornography for the first time,"In an effort to relax his QB, Vrabel fired up his old ""personal use"" iPad and showed Ryan Tannehill pornography for the first time.  ",0,0,24,4.375,0.33333333333333337,"[((' ', 'a', 'n'), 2), (('a', 'n', ' '), 2), (('f', 'o', 'r'), 2), (('t', ' ', 't'), 2), ((' ', 'h', 'i'), 2)]","[(('in', 'an'), 1), (('an', 'effort'), 1), (('effort', 'to'), 1), (('to', 'relax'), 1), (('relax', 'his'), 1)]",['titansvschiefs'],['https://t.co/g0a5iMjUtI'],[],1,0,0,16.666666666666664,0,1,12.499999999999998,16.666666666666664,0,20.83333333333333,12.499999999999998,0,0,4.166666666666666,0,0,16.666666666666664,12.499999999999998,0,0,4.166666666666666,0,0,0,0,Germanic,English, 
ghats a bad call,Thats a bad call.  ,0,0,4,3.25,0.375,"[(('g', 'h', 'a'), 1), (('h', 'a', 't'), 1), (('a', 't', 's'), 1), (('t', 's', ' '), 1), (('s', ' ', 'a'), 1)]","[(('thats', 'a'), 1), (('a', 'bad'), 1), (('bad', 'call'), 1)]",['titansvschiefs'],[],[],1,0,0,25.0,0,0,25.0,25.0,0,25.0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,Germanic,English, 
bummed we lost but proud of this season,Bummed we lost but proud of this season!    ,0,0,8,4.0,0.0,"[(('b', 'u', 'm'), 1), (('u', 'm', 'm'), 1), (('m', 'm', 'e'), 1), (('m', 'e', 'd'), 1), (('e', 'd', ' '), 1)]","[(('bummed', 'we'), 1), (('we', 'lost'), 1), (('lost', 'but'), 1), (('but', 'proud'), 1), (('proud', 'of'), 1)]","['TitanUp', 'Titans', 'titansvschiefs']",['https://t.co/PKwATidrP5'],[],3,0,0,12.5,0,1,12.5,12.5,0,12.5,12.5,12.5,0,12.5,0,0,0,25.0,0,0,0,0,0,0,0,Germanic,English, 
col the sucks this is what turned me off from the game calls a hold on the snap it s all rigged,"Lol the  sucks , this is what turned me off from the game. Calls a hold on the snap. It's all rigged    ",0,0,22,3.3636363636363638,0.25,"[((' ', 't', 'h'), 4), (('t', 'h', 'e'), 3), (('h', 'e', ' '), 3), (('e', ' ', 's'), 2), (('i', 's', ' '), 2)]","[(('lol', 'the'), 1), (('the', 'sucks'), 1), (('sucks', 'this'), 1), (('this', 'is'), 1), (('is', 'what'), 1)]","['NFL', 'Chiefs', 'titansvschiefs', 'TitanUp']",['https://t.co/oUVUs9mJOn'],[],4,0,0,13.636363636363637,0,1,4.545454545454546,22.72727272727273,4.545454545454546,18.181818181818183,9.090909090909092,13.636363636363637,0,0,4.545454545454546,0,0,13.636363636363637,0,0,4.545454545454546,0,0,0,0,Germanic,English, 
28 straight points for the chiefs,28 straight points for the Chiefs   ,0,0,6,4.666666666666667,0.16666666666666666,"[(('2', '8', ' '), 1), (('8', ' ', 's'), 1), ((' ', 's', 't'), 1), (('s', 't', 'r'), 1), (('t', 'r', 'a'), 1)]","[(('28', 'straight'), 1), (('straight', 'points'), 1), (('points', 'for'), 1), (('for', 'the'), 1), (('the', 'chiefs'), 1)]","['titansvschiefs', 'AFCChampionship']",['https://t.co/UO76MxM3wc'],[],2,0,0,0,0,1,16.666666666666664,16.666666666666664,0,16.666666666666664,16.666666666666664,0,0,0,0,0,16.666666666666664,0,16.666666666666664,0,0,0,0,0,0,Germanic,English, 
