correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
type,"type
 ",0,0,1,4.0,0.0,"[(('t', 'y', 'p'), 1), (('y', 'p', 'e'), 1)]",[],['annkw'],['https://t.co/9Xy8FCU5RZ'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
kiss amp cry,kiss&amp;cry  ,0,0,3,3.3333333333333335,0.0,"[(('k', 'i', 's'), 1), (('i', 's', 's'), 1), (('s', 's', ' '), 1), (('s', ' ', 'a'), 1), ((' ', 'a', 'm'), 1)]","[(('kiss', 'amp'), 1), (('amp', 'cry'), 1)]",['annkw'],['https://t.co/5M5gZYCnZo'],[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Japonic,Japanese, 
good,"good
",0,0,1,4.0,0.5,"[(('g', 'o', 'o'), 1), (('o', 'o', 'd'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
nuts,nuts! ,0,0,1,4.0,0.0,"[(('n', 'u', 't'), 1), (('u', 't', 's'), 1)]",[],['annkw'],[],[],1,0,0,100.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
kiss amp cry,Kiss &amp; Cry ,0,0,3,3.3333333333333335,0.0,"[(('k', 'i', 's'), 1), (('i', 's', 's'), 1), (('s', 's', ' '), 1), (('s', ' ', 'a'), 1), ((' ', 'a', 'm'), 1)]","[(('kiss', 'amp'), 1), (('amp', 'cry'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,66.66666666666666,0,0,0,0,0,0,0,Japonic,Japanese, 
see you ar ayabe,"See you Mr. Ayabe!
",0,0,4,3.25,0.625,"[(('s', 'e', 'e'), 1), (('e', 'e', ' '), 1), (('e', ' ', 'y'), 1), ((' ', 'y', 'o'), 1), (('y', 'o', 'u'), 1)]","[(('see', 'you'), 1), (('you', 'mr'), 1), (('mr', 'ayabe'), 1)]",['annkw'],[],[],1,0,0,25.0,0,0,0,0,0,0,0,25.0,0,0,0,0,50.0,25.0,0,0,0,0,0,0,0,Japonic,Japanese, 
love2000,LOVE2000 ,1,1,1,8.0,2.5,"[(('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1), (('v', 'e', '2'), 1), (('e', '2', '0'), 1), (('2', '0', '0'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
teenager forever,"Teenager forever 
",0,0,2,7.5,0.0,"[(('t', 'e', 'e'), 1), (('e', 'e', 'n'), 1), (('e', 'n', 'a'), 1), (('n', 'a', 'g'), 1), (('a', 'g', 'e'), 1)]","[(('teenager', 'forever'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
teenagers forever,"Teenagers Forever
 ",0,0,2,8.0,0.0,"[(('t', 'e', 'e'), 1), (('e', 'e', 'n'), 1), (('e', 'n', 'a'), 1), (('n', 'a', 'g'), 1), (('a', 'g', 'e'), 1)]","[(('teenagers', 'forever'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
sold out,"SOLD OUT

 ",0,2,2,3.5,0.0,"[(('s', 'o', 'l'), 1), (('o', 'l', 'd'), 1), (('l', 'd', ' '), 1), (('d', ' ', 'o'), 1), ((' ', 'o', 'u'), 1)]","[(('sold', 'out'), 1)]",['annkw'],['https://t.co/U9rrs12XTy'],[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,Japonic,Japanese, 
looser,(;)Looser  ,0,0,1,6.0,0.0,"[(('l', 'o', 'o'), 1), (('o', 'o', 's'), 1), (('o', 's', 'e'), 1), (('s', 'e', 'r'), 1)]",[],['annkw'],[],[],1,0,100.0,100.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
saturday night kasumin,"Saturday Night Kasumin
",0,0,3,6.666666666666667,0.6666666666666666,"[(('s', 'a', 't'), 1), (('a', 't', 'u'), 1), (('t', 'u', 'r'), 1), (('u', 'r', 'd'), 1), (('r', 'd', 'a'), 1)]","[(('saturday', 'night'), 1), (('night', 'kasumin'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Japonic,Japanese, 
bump of chicken,"
BUMP OF CHICKEN
",0,2,3,4.333333333333333,0.0,"[(('b', 'u', 'm'), 1), (('u', 'm', 'p'), 1), (('m', 'p', ' '), 1), (('p', ' ', 'o'), 1), ((' ', 'o', 'f'), 1)]","[(('bump', 'of'), 1), (('of', 'chicken'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,Japonic,Japanese, 
love2000,"LOVE2000
",1,1,1,8.0,2.5,"[(('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1), (('v', 'e', '2'), 1), (('e', '2', '0'), 1), (('2', '0', '0'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
sing out,"Sing Out!
 ",0,0,2,3.5,0.0,"[(('s', 'i', 'n'), 1), (('i', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 'o'), 1), ((' ', 'o', 'u'), 1)]","[(('sing', 'out'), 1)]",['annkw'],[],[],1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,Japonic,Japanese, 
hey don t move ar this is america,"Hey, don't move.

(Mr.)
This is America.


",0,0,8,3.25,0.3125,"[(('i', 's', ' '), 2), (('h', 'e', 'y'), 1), (('e', 'y', ' '), 1), (('y', ' ', 'd'), 1), ((' ', 'd', 'o'), 1)]","[(('hey', 'don'), 1), (('don', 't'), 1), (('t', 'move'), 1), (('move', 'mr'), 1), (('mr', 'this'), 1)]","['annkw', 'ANN10']",[],[],2,0,0,62.5,0,0,0,0,12.5,0,0,12.5,0,0,0,0,25.0,37.5,0,0,0,0,0,0,0,Japonic,Japanese, 
hey mont move wwwwww,"Hey! Dont move!!!!!!!wwwwww
",1,0,4,4.25,1.0,"[(('w', 'w', 'w'), 4), ((' ', 'm', 'o'), 2), (('h', 'e', 'y'), 1), (('e', 'y', ' '), 1), (('y', ' ', 'm'), 1)]","[(('hey', 'dont'), 1), (('dont', 'move'), 1), (('move', 'wwwwww'), 1)]",['annkw'],[],[],1,0,25.0,50.0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,Japonic,Japanese, 
thank you ar ayabe,"Thank You Mr. AYABE!!!

",1,1,4,3.75,0.625,"[(('t', 'h', 'a'), 1), (('h', 'a', 'n'), 1), (('a', 'n', 'k'), 1), (('n', 'k', ' '), 1), (('k', ' ', 'y'), 1)]","[(('thank', 'you'), 1), (('you', 'mr'), 1), (('mr', 'ayabe'), 1)]",['annkw'],[],[],1,0,0,25.0,0,0,0,0,0,0,0,25.0,0,0,0,0,50.0,25.0,0,0,0,0,0,0,0,Japonic,Japanese, 
this is america,"This is America
",0,0,3,4.333333333333333,0.16666666666666666,"[(('i', 's', ' '), 2), (('t', 'h', 'i'), 1), (('h', 'i', 's'), 1), (('s', ' ', 'i'), 1), ((' ', 'i', 's'), 1)]","[(('this', 'is'), 1), (('is', 'america'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Japonic,Japanese, 
demon telephone,"demon telephone

 ",0,0,2,7.0,0.0,"[(('d', 'e', 'm'), 1), (('e', 'm', 'o'), 1), (('m', 'o', 'n'), 1), (('o', 'n', ' '), 1), (('n', ' ', 't'), 1)]","[(('demon', 'telephone'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
take2,"Take2
",0,0,1,5.0,0.5,"[(('t', 'a', 'k'), 1), (('a', 'k', 'e'), 1), (('k', 'e', '2'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
teenager forever,"Teenager Forever
",0,0,2,7.5,0.0,"[(('t', 'e', 'e'), 1), (('e', 'e', 'n'), 1), (('e', 'n', 'a'), 1), (('n', 'a', 'g'), 1), (('a', 'g', 'e'), 1)]","[(('teenager', 'forever'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
mont forget 7 26,Dont forget 7.26 ,0,0,4,3.25,0.625,"[(('m', 'o', 'n'), 1), (('o', 'n', 't'), 1), (('n', 't', ' '), 1), (('t', ' ', 'f'), 1), ((' ', 'f', 'o'), 1)]","[(('dont', 'forget'), 1), (('forget', '7'), 1), (('7', '26'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,25.0,0,0,0,0,0,0,Japonic,Japanese, 
bump of chicken,"BUMP OF CHICKEN
",0,2,3,4.333333333333333,0.0,"[(('b', 'u', 'm'), 1), (('u', 'm', 'p'), 1), (('m', 'p', ' '), 1), (('p', ' ', 'o'), 1), ((' ', 'o', 'f'), 1)]","[(('bump', 'of'), 1), (('of', 'chicken'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,Japonic,Japanese, 
you play schedule,"you play schedule?
",0,0,3,5.0,0.0,"[(('y', 'o', 'u'), 1), (('o', 'u', ' '), 1), (('u', ' ', 'p'), 1), ((' ', 'p', 'l'), 1), (('p', 'l', 'a'), 1)]","[(('you', 'play'), 1), (('play', 'schedule'), 1)]",['annkw'],[],[],1,0,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Japonic,Japanese, 
tkepc,"TKEPC
 ",0,1,1,5.0,1.5,"[(('t', 'k', 'e'), 1), (('k', 'e', 'p'), 1), (('e', 'p', 'c'), 1)]",[],['annkw'],['https://t.co/x7IKmKwf1O'],[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
hide livewww,"hide LIVEwww
",1,1,2,5.5,0.75,"[(('h', 'i', 'd'), 1), (('i', 'd', 'e'), 1), (('d', 'e', ' '), 1), (('e', ' ', 'l'), 1), ((' ', 'l', 'i'), 1)]","[(('hide', 'livewww'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,0,0,0,0,0,0,0,Japonic,Japanese, 
sing out,"Sing  Out
",0,0,2,3.5,0.0,"[(('s', 'i', 'n'), 1), (('i', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 'o'), 1), ((' ', 'o', 'u'), 1)]","[(('sing', 'out'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,Japonic,Japanese, 
birthday,"birthday
 ",0,0,1,8.0,0.0,"[(('b', 'i', 'r'), 1), (('i', 'r', 't'), 1), (('r', 't', 'h'), 1), (('t', 'h', 'd'), 1), (('h', 'd', 'a'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
this is america,"THIS IS AMERICA
",0,2,3,4.333333333333333,0.16666666666666666,"[(('i', 's', ' '), 2), (('t', 'h', 'i'), 1), (('h', 'i', 's'), 1), (('s', ' ', 'i'), 1), ((' ', 'i', 's'), 1)]","[(('this', 'is'), 1), (('is', 'america'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Japonic,Japanese, 
love2020,"LOVE2020
 ",0,1,1,8.0,2.5,"[(('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1), (('v', 'e', '2'), 1), (('e', '2', '0'), 1), (('2', '0', '2'), 1)]",[],['annkw'],['https://t.co/liVGSsskIe'],[],1,0,0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
king gnu teenager forever,"King Gnu
Teenager Forever
",0,0,4,5.5,0.5,"[(('k', 'i', 'n'), 1), (('i', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 'g'), 1), ((' ', 'g', 'n'), 1)]","[(('king', 'gnu'), 1), (('gnu', 'teenager'), 1), (('teenager', 'forever'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,25.0,0,0,25.0,0,0,0,50.0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
fortnite,"Fortnite
",0,0,1,8.0,1.0,"[(('f', 'o', 'r'), 1), (('o', 'r', 't'), 1), (('r', 't', 'n'), 1), (('t', 'n', 'i'), 1), (('n', 'i', 't'), 1)]",[],['annkw'],[],[],1,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
good,"good!!
 ",0,0,1,4.0,0.5,"[(('g', 'o', 'o'), 1), (('o', 'o', 'd'), 1)]",[],['annkw'],[],[],1,0,0,100.0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
to, to  ,0,0,1,2.0,0.0,[],[],['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
key station,key station ,0,0,2,5.0,0.25,"[(('k', 'e', 'y'), 1), (('e', 'y', ' '), 1), (('y', ' ', 's'), 1), ((' ', 's', 't'), 1), (('s', 't', 'a'), 1)]","[(('key', 'station'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Japonic,Japanese, 
sing out,"Sing Out
",0,0,2,3.5,0.0,"[(('s', 'i', 'n'), 1), (('i', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 'o'), 1), ((' ', 'o', 'u'), 1)]","[(('sing', 'out'), 1)]",['annkw'],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,Japonic,Japanese, 
