text,url,lang
Why does Joe Biden's campaign keep going after victims of the opioid epidemic while taking money from big pharma? Seems corrupt to me. #TellTheTruthJoe https://t.co/DdoFhKuQVS,https://twitter.com/DavidAgStone/status/1234263723826700290,english
"We need a POTUS who will not lie to us on a regular basis. This has been a *life-long* problem with #HellNoJoe #TellTheTruthJoe 
Now, he's gaslighting seniors in FL and other states with a false ad that he's supported social security when he's attacked it repeatedly. https://t.co/9TJwEfFmtE",https://twitter.com/LA_Crystal/status/1236332267573829641,english
"#TellTheTruthJoe  There have been so many lies during this campaign, they probably outnumber the delegates you just won. Where's the evidence Bernie wants to ""change the rules?"" https://t.co/exQYjjhy6S",https://twitter.com/LA_Crystal/status/1234220144903233539,english
"@JoeBiden how can we believe you? you have a very long and documented record of trying to cut social security.
#TellTheTruthJoe",https://twitter.com/Svizzera117/status/1235734096745291776,english
"In a single interview Biden:
-Suggested he might veto Medicare for All if it passed through Congress 
-Suggested his healthcare plan is universal when it leaves 10 million uninsured.
-Stated he didn't believe Saddam had WMDs but still voted for the war in Iraq.

#tellthetruthjoe",https://twitter.com/NicEatonWrites/status/1237228025529479168,english
"#TellTheTruthJoe 
You haven't always been a strong supporter of Social Security
You weren't active in the Civil Rts Movement
You weren't arrested trying to see Nelson Mandela
You've had to quite 2 prior POTUS races for lies &amp; plagiarism
You are not best candidate to defeat DJT https://t.co/m3ZMFsjAVo",https://twitter.com/LA_Crystal/status/1236365298950864897,english
"#tellthetruthjoe

https://t.co/RmefKf144U

According to this Lancet study, M4A will save up to 450 billion $/yr, and could save ""more than 68,000 lives""  

https://t.co/0mcrptUA0H",https://twitter.com/bflagg5183/status/1237231621855760384,english
"If I were heading into retirement, this is not the man I'd want fighting to secure my future! #TellTheTruthJoe https://t.co/ILXrR2Bbmr",https://twitter.com/chaderz911/status/1235398713343950850,english
"@D_jeneration @JoeBiden Joe Biden becomes a little more senile every day. He is completely washed up. He is a creepy old man who’s only purpose in life is to molest women and to promote the billionaires agendas. 

Ilhan was being nice. 

#IDoNotLikeJoeBiden #TellTheTruthJoe #BernieOrBust2020 https://t.co/ttvd4y71iK",https://twitter.com/JDK66409842/status/1235412810496016384,english
@RichardBurr_DN @detroitnews #OnlyBernieCanBeatTrump Trump WILL beat #DementiaJoe like a Drum #HidinBiden #LyinBiden #BidenSocialSecurityCuts #BidenWasNotInTheCivilRightsMovement #TellTheTruthJoe #OnlyBernieCanBeatTrump #PresidentBernieSanders2020🔥🔥🔥🔥🔥 https://t.co/dBgJw0KlcB,https://twitter.com/Carolin75054091/status/1237122440460767232,english
"@proviewsusa @JoeBiden BIDEN URGED TO '#TELLTHETRUTHJOE' ABOUT PAST CALLS FOR SOCIAL SECURITY CUTS
https://t.co/ESUoi8dJfZ",https://twitter.com/turbotruth/status/1235785483143319552,english
"#Trump and #JoeBiden agree on more than they disagree.

Maybe we should vote for something better than Trump lite.

#BernieSanders #BernieBeatsTrump

#Biden2020 
#BidenSocialSecurityCuts
#LyingBiden
#HandsOffSocialSecurity
#TELLTHETRUTHJOE #DemocraticPrimary #MichiganPrimary https://t.co/FZX9VU33nV",https://twitter.com/DonnyTinyHandz/status/1235979457204113409,english
"5 ghosts from Biden's past that could haunt his presidential campaign https://t.co/cOydHnHs5Y 

#TellTheTruthJoe #BernieSanders #SandersWarren2020",https://twitter.com/Curry3Goat/status/1235610125953462272,english
"@briebriejoy Maybe he's not lying, but in his fugue state he's impersonating Bernie's speeches like has with other world leaders in the past.
#tellthetruthjoe",https://twitter.com/Polydeuces66/status/1237228846006460416,english
Once again @JoeBiden is on camera bragging about something he now lies about. #TELLTHETRUTHJOE https://t.co/TT8ToqTkqd,https://twitter.com/ColdWorldRome/status/1235962696580947970,english
"#TellTheTruthJoe  You should know better than this. If not, then you shouldn't be running at all. https://t.co/nXfIkh1pOM",https://twitter.com/LA_Crystal/status/1234219631914704896,english
"#TellTheTruthJoe Not only have you fought for cuts to Social Security and Medicare, you HELPED put a REPUBLICAN in the Senate. You've hurt the downticket races more than Bernie ever would. #Bernie2020 https://t.co/w56BBmUqtw",https://twitter.com/LA_Crystal/status/1234538568451751936,english
"@briebriejoy He doesn’t know how to. He lied about marching for civil rights, he made up war stories m, he lied about getting arrested in South Africa with Mandela but we are supposed to believe him when it comes to healthcare foh #tellthetruthjoe",https://twitter.com/stephenmilesDP/status/1237229456785313792,english
@briebriejoy He's incapable of telling the truth. I guess being a pathological liar is OK as long as it's your pathological liar #TellTheTruthjoe,https://twitter.com/mediadiscounter/status/1237227584682786818,english
@DrJillStein @AcctClosedNan #ONLYBERNIECANBEATTRUMP Trump will beat Biden like a Drum #ONLYBernieCanBeatTrump #OnlyBernie believes that healthcare is a human right #LyinBiden #BidenSocialSecurityCuts #BidenWasNotInTheCivilRightsMovement #TellTheTruthJoe #BidenSocialSecurityCuts #ONLYBERNIECANBEATTRUMP https://t.co/jyfFXjlqfj,https://twitter.com/Carolin75054091/status/1236776653918998531,english
@RedBeretsM4All @0rf @Vegan_Succubus @ninaturner @KillerMike @BernieSanders #OnlyBernieCanBeatTrump Trump WILL beat #DementiaJoe like a Drum #HidinBiden #LyinBiden #BidenSocialSecurityCuts #BidenWasNotInTheCivilRightsMovement #TellTheTruthJoe #ONLYBERNIECANBEATTRUMP https://t.co/w3qhRlr8Fu,https://twitter.com/Carolin75054091/status/1237123362591105025,english
@OpinionatedLab It's just a fact that Trump WILL beat Biden like a Drum. #ONLYBERNIECANBEATTRUMP #LyinBiden #TellTheTruthJoe #BidenSocialSecurityCuts #BidenWasNotInTheCivilRightsMovement #TellTheTruthJoe #LyinBiden #HidinBiden https://t.co/lubRTYLJRE,https://twitter.com/Carolin75054091/status/1236740367652777984,english
"@LOWFISCIFI @xDakuna @muni_d1 @aravosis @ewarren That's as false as #TellTheTruthJoe ad on his record of social security cuts. 
Over half delegates are still to be decided and Joe's lead isn't that insurmountable. We don't even have all delegates allocated from states who've already voted &amp; Bernie's leading. Joe is declining.",https://twitter.com/LA_Crystal/status/1236334600705671168,english
"@LOWFISCIFI @xDakuna @muni_d1 @aravosis @ewarren Seems about as credible as #TellTheTruthJoe himself. Of course he'd rather not debate Bernie one to one. You don't have to concede the description. There's a factual record widely available. Your denial doesn't change the reality. 

I almost wish Bernie HAD run 3rd party.",https://twitter.com/LA_Crystal/status/1236333368876376065,english
"@hilaryr If you could have #TellTheTruthJoe draw a clock randomly, that would be a good apology.
#DrawAClockJoe https://t.co/QAiJLqJEnU",https://twitter.com/MaLaCoiD/status/1236072551907880962,english
"Maybe to match #TelltheTruthJoe, we have #DrawAClockJoe?

I'd never heard of this #Dementia test until @AlfaRomasochist mentioned it:

https://t.co/4jgLWFVnlq https://t.co/9SLbFUPOLd",https://twitter.com/MaLaCoiD/status/1236065920142860288,english
@JoeBiden #TELLTHETRUTHJOE it’s recorded. Anyone can look it up. You’ve been calling for cuts for decades #FactsNotAttacks,https://twitter.com/TomDoggett7/status/1235997196157403137,english
"Bidens fight to cut and raise the eligibility age for Social Security benefits is a record that is decades long. #TellTheTruthJoe
#BidenSocialSecurityCuts https://t.co/tFUbU6pcu5",https://twitter.com/fluidcreativiy/status/1235795503528493056,english
"@JoeBiden BIDEN URGED TO '#TELLTHETRUTHJOE' ABOUT PAST CALLS FOR SOCIAL SECURITY CUTS AMID BERNIE SANDERS CRITICISM

https://t.co/D3LhccHPpO",https://twitter.com/proviewsusa/status/1235757985781166081,english
@JoeBiden You're not a decency candidate. You didn't meet Nelson Mandela. You were on the wrong side of the Civil Rights Movement. You're a plagiarist. You've always voted to support the corporations and hurt ordinary people. #TellTheTruthJoe,https://twitter.com/beslayed/status/1235236631243894785,english
"#BidenSocialSecurityCuts #TellTheTruthJoe
#BidenWouldntBeatTrump

Joe Biden Wouldn't Beat Trump

#NotMeUs #BernieBeatsTrump #Bernie2020 https://t.co/3kmKxf6g59",https://twitter.com/Kulinski_crat_1/status/1235233081616781314,english
"@shaunking @JoeBiden We already have one lying dotard in the Whitehouse &amp; yet some people think it might be a good idea to replace him with another. Go figure
#StatusQuoJoe #TellTheTruthJoe https://t.co/BBq0WDWe0B",https://twitter.com/RaybouldJohn/status/1234084698261016576,english
