correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
elena akrita has left the chat, Elena Akrita has left the chat ,0,0,6,4.166666666666667,0.3333333333333333,"[(('e', 'l', 'e'), 1), (('l', 'e', 'n'), 1), (('e', 'n', 'a'), 1), (('n', 'a', ' '), 1), (('a', ' ', 'a'), 1)]","[(('elena', 'akrita'), 1), (('akrita', 'has'), 1), (('has', 'left'), 1), (('left', 'the'), 1), (('the', 'chat'), 1)]",['adinamoskrikosgr'],['https://t.co/Pa2HPK1yiC'],[],1,0,0,0,0,1,0,16.666666666666664,0,16.666666666666664,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,Greek,Greek, 
be people greece this photo work of your police,"Be people Greece. This  photo work of your police
 ",0,0,9,4.333333333333333,0.1111111111111111,"[(('b', 'e', ' '), 1), (('e', ' ', 'p'), 1), ((' ', 'p', 'e'), 1), (('p', 'e', 'o'), 1), (('e', 'o', 'p'), 1)]","[(('be', 'people'), 1), (('people', 'greece'), 1), (('greece', 'this'), 1), (('this', 'photo'), 1), (('photo', 'work'), 1)]",['adinamoskrikosgr'],['https://t.co/3ZYpCHi506'],[],1,0,0,11.11111111111111,0,1,0,22.22222222222222,0,44.44444444444444,11.11111111111111,0,0,0,0,0,11.11111111111111,11.11111111111111,0,0,0,0,0,0,0,Greek,Greek, 
bank,"Bank
  ",0,0,1,4.0,0.0,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]",[],['adinamoskrikosgr'],['https://t.co/VrMBQ7Xtup'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
bank,Bank  ,0,0,1,4.0,0.0,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]",[],['adinamoskrikosgr'],['https://t.co/Pnht4oxKwl'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
panagiotis is uncle fester,Panagiotis is uncle fester  ,0,0,4,5.75,0.625,"[(('i', 's', ' '), 2), (('p', 'a', 'n'), 1), (('a', 'n', 'a'), 1), (('n', 'a', 'g'), 1), (('a', 'g', 'i'), 1)]","[(('panagiotis', 'is'), 1), (('is', 'uncle'), 1), (('uncle', 'fester'), 1)]",['adinamoskrikosgr'],['https://t.co/03Vufwrdz4'],[],1,0,0,0,0,1,0,0,0,25.0,0,0,0,0,0,0,25.0,50.0,0,0,0,0,0,0,0,Greek,Greek, 
mood,MOOD  ,0,1,1,4.0,0.0,"[(('m', 'o', 'o'), 1), (('o', 'o', 'd'), 1)]",[],['adinamoskrikosgr'],['https://t.co/CHTVp6KGEv'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
baaaaaaaaaaaaaaaaaaaaaankkkkkkkkkkkk,"BAAAAAAAAAAAAAAAAAAAAAANKKKKKKKKKKKK

 ",1,1,1,36.0,16.0,"[(('a', 'a', 'a'), 20), (('k', 'k', 'k'), 10), (('b', 'a', 'a'), 1), (('a', 'a', 'n'), 1), (('a', 'n', 'k'), 1)]",[],['adinamoskrikosgr'],['https://t.co/8r7GamA1gc'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
let s do this shit,Let's do this shit   ,0,0,5,2.8,0.1,"[(('l', 'e', 't'), 1), (('e', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'd'), 1)]","[(('let', 's'), 1), (('s', 'do'), 1), (('do', 'this'), 1), (('this', 'shit'), 1)]",['adinamoskrikosgr'],['https://t.co/UBNDxeFVZR'],[],1,0,0,0,0,1,0,20.0,0,20.0,0,0,0,0,20.0,0,0,20.0,0,0,0,0,0,0,0,Greek,Greek, 
bank bank,"Bank bank bank...
 ",1,0,2,4.0,0.0,"[(('b', 'a', 'n'), 2), (('a', 'n', 'k'), 2), (('n', 'k', ' '), 1), (('k', ' ', 'b'), 1), ((' ', 'b', 'a'), 1)]","[(('bank', 'bank'), 2)]",['adinamoskrikosgr'],['https://t.co/ucrTJXOz8c'],[],1,0,0,50.0,0,1,0,0,0,100.0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Greek,Greek, 
it s now or never o don jovi,It's now or never o Bon Jovi;;;;; ,1,0,8,2.625,0.875,"[(('i', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'n'), 1), ((' ', 'n', 'o'), 1)]","[(('it', 's'), 1), (('s', 'now'), 1), (('now', 'or'), 1), (('or', 'never'), 1), (('never', 'o'), 1)]",['adinamoskrikosgr'],[],[],1,0,12.5,0,0,0,0,0,0,0,12.5,0,25.0,12.5,12.5,0,25.0,0,0,0,0,0,0,0,0,Greek,Greek, 
you can t find this in you can only find this in,"You can't find this in . You can only find this in ! 

 #    #           ",0,0,12,3.0833333333333335,0.2916666666666667,"[(('y', 'o', 'u'), 2), (('o', 'u', ' '), 2), (('u', ' ', 'c'), 2), ((' ', 'c', 'a'), 2), (('c', 'a', 'n'), 2)]","[(('you', 'can'), 2), (('find', 'this'), 2), (('this', 'in'), 2), (('can', 't'), 1), (('t', 'find'), 1)]","['Greece', 'Macedonia', 'OnlyInMacedonia', 'travel', 'Ohrid', 'Skopje', 'paooly', 'adinamoskrikosgr', 'kalytera', 'annitakoita', 'festival_kne', 'elaxamogela', 'SaturdayThoughts', 'ImAttractedToThe__Type', 'SaturdayMotivation']",['https://t.co/LddMAI7gjZ'],[],15,0,0,16.666666666666664,0,1,0,0,0,0,16.666666666666664,33.33333333333333,8.333333333333332,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Greek,Greek, 
really my child,"Really My Child ? 

 ",0,0,3,4.333333333333333,0.0,"[(('r', 'e', 'a'), 1), (('e', 'a', 'l'), 1), (('a', 'l', 'l'), 1), (('l', 'l', 'y'), 1), (('l', 'y', ' '), 1)]","[(('really', 'my'), 1), (('my', 'child'), 1)]",['adinamoskrikosgr'],['https://t.co/X5xjRmBpyy'],[],1,0,0,33.33333333333333,0,1,0,33.33333333333333,0,33.33333333333333,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,Greek,Greek, 
bank constantinos shot me down,"Bank bank, Constantinos shot me down ",0,0,5,5.2,3.2166666666666663,"[(('b', 'a', 'n'), 1), (('a', 'n', 'k'), 1), (('n', 'k', ' '), 1), (('k', ' ', 'c'), 1), ((' ', 'c', 'o'), 1)]","[(('bank', 'bank'), 1), (('bank', 'constantinos'), 1), (('constantinos', 'shot'), 1), (('shot', 'me'), 1), (('me', 'down'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,20.0,0,0,0,0,0,20.0,0,20.0,0,0,0,0,40.0,20.0,0,0,20.0,0,0,0,0,Greek,Greek, 
and the oscar goes to tacos tryfonos,And the Oscar goes to Tasos Tryfonos... ,1,0,7,4.285714285714286,0.5714285714285714,"[(('s', ' ', 't'), 2), (('a', 'n', 'd'), 1), (('n', 'd', ' '), 1), (('d', ' ', 't'), 1), ((' ', 't', 'h'), 1)]","[(('and', 'the'), 1), (('the', 'oscar'), 1), (('oscar', 'goes'), 1), (('goes', 'to'), 1), (('to', 'tasos'), 1)]",['adinamoskrikosgr'],[],[],1,0,0,14.285714285714285,0,0,0,14.285714285714285,0,0,14.285714285714285,0,0,14.285714285714285,0,0,42.857142857142854,14.285714285714285,0,0,0,0,0,0,0,Greek,Greek, 
europe talking about humanity,"
 
Europe talking about humanity ",0,0,4,6.5,0.125,"[(('e', 'u', 'r'), 1), (('u', 'r', 'o'), 1), (('r', 'o', 'p'), 1), (('o', 'p', 'e'), 1), (('p', 'e', ' '), 1)]","[(('europe', 'talking'), 1), (('talking', 'about'), 1), (('about', 'humanity'), 1)]","['adinamoskrikosgr', 'HumanRightsViolations']",['https://t.co/XLMlIxX4DO'],[],2,0,0,0,0,1,0,0,0,25.0,25.0,0,0,0,0,0,25.0,25.0,0,0,0,0,0,0,0,Greek,Greek, 
