charTrigrams,wordBigrams,wordUnigrams
st,,s
man,n t,i
er,german armi,germani
ger,let s,german
erm,far right,the
rma,it s,today
 ge,stream parti,we
an,germani s,attack
t s,terror attack,hug
 co,i m,stream
ay,hug day,let
 st,terrorist attack,day
rea,shisha bar,go
 th,join us,armi
str,today s,right
nd,ca n,peopl
 s,that s,n
 ma,s get,it
day,trend germani,one
ter,semi fin,t
the,s go,first
 re,black swan,time
at,look forward,a
ani,german farmer,austria
 de,we stand,amp
in,commemor victim,us
ck,right w,farmer
ni,go home,get
on,nation hug,good
nt,gon na,victim
et,free hug,thank
ght,go german,nazi
ll,armi stream,need
ack,st class,what
igh,we need,make
it,constitut court,happi
en,way berlin,that
tre,right wing,love
 to,but i,world
 go,mass kill,kill
tri,neo nazi,and
 ne,across germani,like
ist,right terror,use
ht,nazi rau,terror
i s,rau nazi,m
ar,shot dead,our
est,y all,parti
t c,children s,trend
 pr,climat chang,th
 fa,first half,way
or,let get,look
 ha,stuck head,thi
he,let go,via
rt,keep stream,could
ow,stream black,also
 se,s s,want
t t,wo n,you
n t,these clean,show
t a,clean window,year
and,window via,feel
 wo,climat strike,come
 sh,strike mainz,mani
art,the first,still
 tr,first count,play
 lo,assist suicid,news
arm,forward see,protest
me,tractor protest,racist
 we,farmer demonstr,terrorist
 da,farmer bavaria,new
 i,bavaria thuringia,song
end,thuringia way,climat
ng,on tractor,mainz
ke,long term,take
 be,today germani,better
th,farmer protest,big
 pa,t play,start
ld,farmer s,work
n a,protest germani,say
e s,german media,citi
ri,yesterday i,join
eam,racist terror,free
ss,german presid,far
con,rememb victim,great
ead,victim terror,children
al,memori servic,nation
ve,presid frank,back
ent,frank walt,see
 ar,walt steinmeier,so
ur,art german,would
our,racist attack,talk
tim,nine peopl,media
 al,attack the,week
re,it n,guy
 po,imagin peopl,black
 fi,peopl live,all
 ch,live life,minut
ver,life peac,best
 wa,say i,class
li,guy mass,in
 vi,kill say,my
am,say let,berlin
ear,t get,video
 in,pleas join,chang
ut,germani problem,st
 le,everi singl,hate
 ba,good thing,live
 fr,the terror,almost
tod,attack show,even
oda,show need,keep
t d,need honesti,open
 na,i want,realli
hat,of all,team
t w,minut silenc,friend
ia,victim racist,tri
 hu,look like,have
t g,german press,demonstr
all,attack germani,place
 fo,right terrorist,die
t p,took street,countri
sho,attack hall,report
han,i cant,not
ust,minut s,home
eve,s silenc,follow
 li,s open,stand
 si,deadli shoot,racism
ot,attack our,shoot
 so,w terrorist,mean
 he,in peopl,shot
ad,peopl kill,word
ome,german citi,next
 pe,eight peopl,win
com,door open,boy
ion,what night,impress
one,photo last,low
 at,next time,futur
pro,i speak,alreadi
im,do n,forward
 an,amir sahib,lot
 ho,i ll,post
 te,what would,alway
wor,th hourli,anoth
att,hourli shot,tractor
hug,shot day,without
res,day i,environment
 mi,the guy,friendli
eat,he tri,know
mer,happi hug,lead
tac,i ve,tonight
r s,good morn,servic
we,i need,call
 pl,i found,but
n s,cuddl day,two
 di,day keep,everi
tta,keep doctor,shisha
ne,doctor away,bar
 cl,big hug,polic
t f,hug today,they
ort,s time,game
let,germani i,much
far,m gon,train
 am,either way,second
 ra,a big,cuddl
ess,a hug,who
sta,s german,sinc
ill,social media,no
 us,environment pig,im
 wi,s choir,semi
 ca,german twitter,goal
r a,video children,more
ti,death threat,how
 mo,name gim,wow
ake,happi new,now
i t,new year,support
 ti,our first,expect
pla,what a,thought
cou,luca waldschmidt,well
 ri,austria beaten,on
 fe,beaten germani,life
tra,reach semi,hard
rac,manuel neuer,ca
lea,austria level,proud
 ta,believ i,must
cti,joachim lw,threat
 su,live blog,continu
ch,get it,noth
 on,im stream,hanau
ate,stream erfurt,dead
ass,armi trend,politician
 ex,stream hashtag,commemor
her,parti feel,group
ren,feel free,dont
tha,free join,made
rig,number one,with
for,go go,fear
ria,that pretti,pleas
ain,join german,thing
ste,s stream,mind
tur,germani right,last
e f,fear lose,silenc
ove,parti use,w
par,t believ,took
aus,deutsch bahn,stop
cha,bahncard cost,drive
i f,cost nd,night
el,nd class,photo
amp,class instead,hit
fir,thank help,everyon
rro,look good,excit
e g,the best,na
n c,demo climat,grandma
e a,climat mainz,boomer
rmi,some impress,hashtag
thi,impress today,trip
e c,today climat,fin
 do,mainz germani,half
ic,germani more,swan
sti,more peopl,bahncard
r p,mainz power,strike
rd,wonder germani,power
t e,germani come,wonder
 en,come coal,listen
 me,coal have,becom
ict,have listen,mass
mi,make clear,re
err,clear statement,might
vic,statement fb,street
se,need becom,welcom
pre,becom consciou,constitut
i m,consciou urgent,assist
e p,urgent stadt,current
eop,stadt dortmund,law
