correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
do you remember this scene it was great ha,"do you rememeber this scene ? it was great ha ?
        ",0,0,9,3.7777777777777777,0.2777777777777778,"[(('d', 'o', ' '), 1), (('o', ' ', 'y'), 1), ((' ', 'y', 'o'), 1), (('y', 'o', 'u'), 1), (('o', 'u', ' '), 1)]","[(('do', 'you'), 1), (('you', 'rememeber'), 1), (('rememeber', 'this'), 1), (('this', 'scene'), 1), (('scene', 'it'), 1)]","['CenCem', 'CenCemTakip', 'Cemre', 'cenkKaracay', 'zalimistanbul']",['https://t.co/YoNc9GIWS9'],[],5,0,0,22.22222222222222,0,1,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,22.22222222222222,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Turkic,Turkish, 
spring,Spring    ,0,0,1,6.0,0.0,"[(('s', 'p', 'r'), 1), (('p', 'r', 'i'), 1), (('r', 'i', 'n'), 1), (('i', 'n', 'g'), 1)]",[],['Cemre'],['https://t.co/ikeUrDmZw0'],[],1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkic,Turkish, 
feeling some type way,": feeling some typa way 
 ",0,0,4,4.5,0.25,"[(('f', 'e', 'e'), 1), (('e', 'e', 'l'), 1), (('e', 'l', 'i'), 1), (('l', 'i', 'n'), 1), (('i', 'n', 'g'), 1)]","[(('feeling', 'some'), 1), (('some', 'typa'), 1), (('typa', 'way'), 1)]","['CEMRE', 'CemNed']",['https://t.co/QKcIkoNpF9'],[],2,0,0,25.0,0,1,25.0,25.0,0,25.0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,Turkic,Turkish, 
love,Love       ,0,0,1,4.0,0.5,"[(('l', 'o', 'v'), 1), (('o', 'v', 'e'), 1)]",[],"['nedcem', 'CemNed', 'Zalimstanbul', 'cemre', 'nedim']",['https://t.co/1yzwcGMVr3'],[],5,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkic,Turkish, 
oz an did his part now is our turn are you ready to make our cencem the first and show everyone who the real couple is karaay,"Ozan did his part
Now is our turn 
Are you ready to make our CenCem the first and show everyone who the real couple is?

   Karaay    ",0,0,27,3.6666666666666665,2.326923076923077,"[(('i', 's', ' '), 3), ((' ', 'a', 'n'), 2), (('o', 'w', ' '), 2), ((' ', 'i', 's'), 2), ((' ', 'o', 'u'), 2)]","[(('ozan', 'did'), 1), (('did', 'his'), 1), (('his', 'part'), 1), (('part', 'now'), 1), (('now', 'is'), 1)]","['CenkKaraay', 'OzanDolunay', 'Cemre', 'SeraKutlubey', 'CenCem', 'zalimistanbul']",['https://t.co/YHH34Rkkqc'],[],6,0,0,3.7037037037037033,0,1,11.11111111111111,18.518518518518515,0,14.814814814814813,3.7037037037037033,7.4074074074074066,3.7037037037037033,3.7037037037037033,0,0,7.4074074074074066,22.222222222222218,0,3.7037037037037033,0,0,0,0,0,Turkic,Turkish, 
you were the only one who understood me when i could not hear and speak cemre the one who taught me to speak not with words but with eyes the one that which gave the word when i close my eyes she will be next to me,"You were the only one who understood me when I could not hear and speak, Cemre. The one who taught me to speak not with words, but with eyes. The one that which gave, the word, when I close my eyes, she will be next to me.

   ",0,0,47,3.574468085106383,0.20212765957446807,"[(('e', ' ', 't'), 5), ((' ', 't', 'h'), 5), (('h', 'e', ' '), 5), (('e', ' ', 'w'), 5), ((' ', 'w', 'h'), 5)]","[(('one', 'who'), 2), (('when', 'i'), 2), (('the', 'one'), 2), (('you', 'were'), 1), (('were', 'the'), 1)]","['cemned', 'nedim', 'cemre']",['https://t.co/qyGjMHzsyC'],[],3,0,0,17.02127659574468,0,1,2.127659574468085,12.76595744680851,0,8.51063829787234,10.638297872340425,19.148936170212764,10.638297872340425,4.25531914893617,0,0,2.127659574468085,23.40425531914893,6.382978723404255,0,0,0,0,0,0,Turkic,Turkish, 
speechless what is this style mg,"speechless !!!!!!!
what is this style !!!!! OMG 

  ",2,1,6,4.5,0.25,"[(('i', 's', ' '), 2), (('s', 'p', 'e'), 1), (('p', 'e', 'e'), 1), (('e', 'e', 'c'), 1), (('e', 'c', 'h'), 1)]","[(('speechless', 'what'), 1), (('what', 'is'), 1), (('is', 'this'), 1), (('this', 'style'), 1), (('style', 'omg'), 1)]","['Zalimstanbul', 'Cemre']",['https://t.co/If3t0OOaMx'],[],2,0,0,33.33333333333333,0,1,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,0,16.666666666666664,0,0,0,0,0,16.666666666666664,0,0,0,0,0,0,0,Turkic,Turkish, 
if you smile i will smile too and it doesn matter at all whether you see my smile or if i see yours after all it is not what we see that matters more important is how we feel,"If you smile, I will smile too. And it doesnt matter at all whether you see my smile or if I see yours. After all, it is not what we see that matters. More important is how we feel.

    ",0,0,39,3.4871794871794872,0.16666666666666669,"[((' ', 'y', 'o'), 3), (('y', 'o', 'u'), 3), ((' ', 's', 'm'), 3), (('s', 'm', 'i'), 3), (('m', 'i', 'l'), 3)]","[(('if', 'you'), 1), (('you', 'smile'), 1), (('smile', 'i'), 1), (('i', 'will'), 1), (('will', 'smile'), 1)]","['cemned', 'nedim', 'cemre', 'zalimistambul']",['https://t.co/TWewgnsBAO'],[],4,0,0,15.384615384615383,0,1,5.128205128205128,10.256410256410255,0,5.128205128205128,12.82051282051282,25.641025641025635,7.692307692307692,5.128205128205128,0,0,0,28.205128205128197,0,0,0,0,0,0,0,Turkic,Turkish, 
i love the way hug he hugged her like she is the most fragile and precious in the world,"I love the way  hug  . He hugged her like she is the most fragile and precious in the world 
     ",0,0,19,3.6315789473684212,0.13157894736842105,"[(('h', 'e', ' '), 5), ((' ', 't', 'h'), 3), (('t', 'h', 'e'), 3), (('e', ' ', 'w'), 2), ((' ', 'h', 'u'), 2)]","[(('i', 'love'), 1), (('love', 'the'), 1), (('the', 'way'), 1), (('way', 'hug'), 1), (('hug', 'he'), 1)]","['Cenk', 'Cemre', 'CenCem', 'CenkKaraay', 'CemreKaraay', 'OzanDolunay', 'SeraKultubey']",['https://t.co/ZkqKWLaQ5a'],[],7,0,0,5.263157894736842,0,1,10.526315789473683,15.789473684210524,0,10.526315789473683,10.526315789473683,21.052631578947366,5.263157894736842,5.263157894736842,0,0,0,21.052631578947366,0,0,0,0,0,0,0,Turkic,Turkish, 
my favorite couple,My favorite couple        ,0,0,3,5.333333333333333,0.0,"[(('m', 'y', ' '), 1), (('y', ' ', 'f'), 1), ((' ', 'f', 'a'), 1), (('f', 'a', 'v'), 1), (('a', 'v', 'o'), 1)]","[(('my', 'favorite'), 1), (('favorite', 'couple'), 1)]","['cencem', 'CenCem', 'Cemre', 'Cenk', 'OzanSera', 'OzanDolunay', 'SeraKutlubey']",['https://t.co/pQMWNnhnyB'],[],7,0,0,0,0,1,33.33333333333333,33.33333333333333,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkic,Turkish, 
official photos from anal d vol6 strangely ar cent is mostly depicted to remind him of all his wrongdoings but i m not going to show photos with him only half like this finally anal d decided to remember who he was,"Official photos from Kanal D vol6
Strangely, Mr. Cenk is mostly depicted to remind him of all his wrongdoings, but I'm not going to show photos with him only half like this 
Finally, Kanal D decided to remember who he was
     ",0,0,42,4.119047619047619,0.20238095238095238,"[(('l', 'y', ' '), 4), (('a', 'l', ' '), 3), (('n', 'a', 'l'), 3), (('i', 's', ' '), 3), ((' ', 't', 'o'), 3)]","[(('kanal', 'd'), 2), (('official', 'photos'), 1), (('photos', 'from'), 1), (('from', 'kanal'), 1), (('d', 'vol6'), 1)]","['BerkerGven', 'SeraKutlubey', 'CemNed', 'NedimKaraay', 'Cemre']",['https://t.co/NBxMrYOLWQ'],[],5,0,0,7.142857142857142,0,1,2.380952380952381,4.761904761904762,0,7.142857142857142,16.666666666666668,11.904761904761905,14.285714285714286,2.380952380952381,2.380952380952381,0,16.666666666666668,19.047619047619047,0,0,0,0,0,0,0,Turkic,Turkish, 
