charTrigrams,wordBigrams,wordUnigrams
er,,i
st,n t,the
 co,i want,s
 ma,i m,franc
 re,it s,french
it,mainstream media,n
on,pension reform,t
 th,labour law,want
 pr,democraci overr,new
nt,raymond depardon,it
nd,thoma barbey,day
the,soni unveil,we
t s,unveil car,like
ver,car prototyp,thank
 st,prototyp human,a
rea,human machin,go
ay,machin via,peopl
 fr,the revolt,need
 in,revolt spread,amp
est,spread throughout,still
an,media n,democraci
et,t want,feel
en,want see,time
rt,see we,world
t c,we media,fight
ch,nation day,thi
 de,french govern,get
ent,govern s,talk
he,s pension,polanski
 wo,french peopl,victim
ran,emmanuel macron,reform
 ne,peopl arrest,one
t f,current mood,countri
t p,we need,mani
man,french prime,le
 la,prime minist,women
n t,the french,in
pro,the show,us
 ca,show must,happen
ter,must go,black
ur,thank support,great
ct,wait around,solut
par,wo n,busi
art,there s,media
 wa,my video,make
in,video polanski,govern
res,polanski s,say
at,s cesar,realli
pre,cesar feel,minist
 fi,feel victim,you
ort,victim child,know
nc,child teen,come
ren,teen sexual,support
al,sexual abus,help
 to,abus caption,happi
ar,caption english,chang
sta,men trash,good
 he,wan na,hashtag
 se,happen franc,last
con,i victim,invest
 s,vincent cassel,innov
el,i guess,pari
 li,last day,differ
 pa,i took,see
anc,the best,citi
ri,far away,look
ll,manag ocean,twitter
t i,grand palai,macron
ear,we re,forc
re,food wast,la
 go,to act,place
for,we are,overr
oun,here to,how
 ha,join us,must
e s,it time,tweet
 mo,busi model,wait
 pe,new the,film
 vi,want know,said
 di,know check,im
 i,check short,work
 fo,short film,if
 su,film dedic,proud
ow,dedic contract,more
 ch,contract film,he
wor,film last,manag
 so,last month,impact
n f,month signatur,team
ist,signatur partnership,infect
ck,partnership european,spread
ect,european invest,protest
t t,invest fund,here
 te,infect he,pension
ght,the end,keep
ant,that s,everyth
und,c est,rememb
act,via cc,end
t b,la vega,labour
ke,parti hard,current
enc,throughout teacher,shame
day,teacher lawyer,m
n s,lawyer firefight,result
han,firefight bu,use
eve,bu driver,found
th,driver doctor,show
ng,doctor nurs,best
 be,nurs farmer,ever
ni,farmer port,est
ut,port worker,u
igh,worker amp,tool
i s,amp sewag,way
ion,sewag worker,my
ove,worker mainstream,video
rn,ghost recon,cesar
fra,emperor s,english
t a,s polic,award
t d,polic make,human
 sa,make rain,at
 ac,rain tear,full
men,tear ga,follow
n c,ga protest,that
ad,protest protest,much
 po,protest citi,love
 me,citi silenc,mayb
our,silenc brussel,man
com,brussel silenc,start
me,silenc eu,cultur
ome,eu mainstream,to
por,here s,could
ag,s latest,our
fre,latest nation,think
thi,day mobilis,soni
 sh,mobilis french,machin
t m,reform plan,big
ust,plan look,hospit
ari,look like,die
and,french worker,de
id,worker keep,for
tim,keep protest,ocean
 tr,protest s,summit
hin,reform brussel,act
ht,brussel brainwash,join
 da,brainwash cabal,food
nch,cabal dont,health
nk,dont report,european
tur,report part,case
ess,part corrupt,airport
cha,corrupt club,revolt
ard,mdr ill,worker
her,franc one,mainstream
r p,one visit,polic
 am,visit countri,brussel
e m,countri world,latest
lan,world huge,nation
cou,huge demonstr,plan
li,demonstr nearli,part
new,nearli daili,visit
 le,daili yet,find
 mi,yet none,news
 ta,none western,all
im,western media,emmanuel
 gr,media find,everyon
ti,find news,week
ref,news worthi,two
 bu,worthi thank,arrest
or,thank twitter,law
str,twitter still,hi
 we,still share,most
 br,share news,sinc
pen,throughout all,year
 lo,all french,mood
