correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
maybe am too canadian but ave watched this a dozen times to see if robinson said he was sorry and man does this guy have some terrible manners,Maybe Im too Canadian but Ive watched this a dozen times to see if Robinson said he was sorry and man does this guy have some terrible manners.  ,0,0,28,4.10714285714286,0.214285714285714,"[((' ', 't', 'o'), 2), (('a', 'n', ' '), 2), (('a', 'v', 'e'), 2), (('v', 'e', ' '), 2), (('e', ' ', 'w'), 2)]","[(('maybe', 'im'), 1), (('im', 'too'), 1), (('too', 'canadian'), 1), (('canadian', 'but'), 1), (('but', 'ive'), 1)]",['titansvschiefs'],['https://t.co/z5QrX5vSIt'],[],1,0,0,3.57142857142857,0,1,10.7142857142857,10.7142857142857,0,17.8571428571429,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,0,3.57142857142857,21.4285714285714,0,0,0,0,0,0,0,Germanic,English, 
get innnnnnnn we are going to the super bowl ma homes tyreek watkins williams mathieu and of course big andy reid all just quality tonight lets go chiefs one more game,"GET INNNNNNNN...
WE ARE GOING TO THE SUPER BOWL!

MAHOMES 
TYREEK 
WATKINS 
WILLIAMS 
MATHIEU 
... And of course Big ANDY REID!! 

All just Quality tonight!! 

LETS GO CHIEFS! One more Game! 
    ",2,16,31,4.41935483870968,2.01666666666667,"[(('n', 'n', 'n'), 6), (('r', 'e', ' '), 2), (('e', ' ', 'g'), 2), ((' ', 'g', 'o'), 2), ((' ', 't', 'o'), 2)]","[(('get', 'innnnnnnn'), 1), (('innnnnnnn', 'we'), 1), (('we', 'are'), 1), (('are', 'going'), 1), (('going', 'to'), 1)]","['titansvschiefs', 'ChiefsKingdom', 'AFCChamps', 'SuperBowlLIV']",['https://t.co/hyhcP2bfQU'],[],4,0,0,22.5806451612903,0,1,9.67741935483871,6.45161290322581,0,12.9032258064516,6.45161290322581,3.2258064516129,3.2258064516129,3.2258064516129,3.2258064516129,0,25.8064516129032,12.9032258064516,3.2258064516129,3.2258064516129,3.2258064516129,0,0,0,0,Germanic,English, 
live footage of patrick ma homes girlfriend heading down to the field to congratulate her man,Live footage of Patrick Mahomes girlfriend heading down to the field to congratulate her man.  ,0,0,16,4.875,2.33333333333333,"[(('e', ' ', 'f'), 2), ((' ', 'm', 'a'), 2), ((' ', 'h', 'e'), 2), ((' ', 't', 'o'), 2), (('t', 'o', ' '), 2)]","[(('live', 'footage'), 1), (('footage', 'of'), 1), (('of', 'patrick'), 1), (('patrick', 'mahomes'), 1), (('mahomes', 'girlfriend'), 1)]",['titansvschiefs'],['https://t.co/cNXMzyRsDs'],[],1,0,0,6.25,0,1,6.25,12.5,0,25,18.75,0,6.25,0,0,0,12.5,12.5,0,0,0,0,0,0,0,Germanic,English, 
patrick mahomess girlfriend is going to ruin the super bowl,"Patrick Mahomess girlfriend is going to ruin the Super Bowl.  
  
",0,0,10,5,0.25,"[(('s', ' ', 'g'), 2), (('p', 'a', 't'), 1), (('a', 't', 'r'), 1), (('t', 'r', 'i'), 1), (('r', 'i', 'c'), 1)]","[(('patrick', 'mahomess'), 1), (('mahomess', 'girlfriend'), 1), (('girlfriend', 'is'), 1), (('is', 'going'), 1), (('going', 'to'), 1)]","['titansvschiefs', 'TENvsKC']",['https://t.co/4ZB6nO2rN7'],[],2,0,0,10,0,1,0,10,0,10,10,0,0,0,0,0,40,30,0,0,0,0,0,0,0,Germanic,English, 
what my neighbors see on a daily basis ill be live all this week on make your appointment now,"What my neighbors see on a daily basis  

Ill be LIVE ALL this week on  make your appointment now 





    ",0,2,19,3.94736842105263,0.263157894736842,"[((' ', 'o', 'n'), 2), (('o', 'n', ' '), 2), (('i', 's', ' '), 2), (('l', 'l', ' '), 2), (('w', 'h', 'a'), 1)]","[(('what', 'my'), 1), (('my', 'neighbors'), 1), (('neighbors', 'see'), 1), (('see', 'on'), 1), (('on', 'a'), 1)]","['aaronhernandeznetflix', 'My20YearOldSelfIn5Words', 'SeduceSomeoneIn4Words', 'TennesseeTitans', 'Packersvs49ers', 'titansvschiefs']","['https://t.co/1J6VFfgx2q', 'https://t.co/KGbWdkiGqo']",['@ChatTimeNow'],6,0,0,0,0,2,10.5263157894737,26.3157894736842,0,21.0526315789474,10.5263157894737,5.26315789473684,5.26315789473684,0,5.26315789473684,0,0,15.7894736842105,0,0,0,0,0,0,0,Germanic,English, 
in an effort to relax his cb vrabel fired up his old personal use ipad and showed aryan tannehill pornography for the first time,"In an effort to relax his QB, Vrabel fired up his old ""personal use"" iPad and showed Ryan Tannehill pornography for the first time.  ",0,0,24,4.375,0.333333333333333,"[((' ', 'a', 'n'), 2), (('a', 'n', ' '), 2), (('f', 'o', 'r'), 2), (('t', ' ', 't'), 2), ((' ', 'h', 'i'), 2)]","[(('in', 'an'), 1), (('an', 'effort'), 1), (('effort', 'to'), 1), (('to', 'relax'), 1), (('relax', 'his'), 1)]",['titansvschiefs'],['https://t.co/g0a5iMjUtI'],[],1,0,0,16.6666666666667,0,1,12.5,16.6666666666667,0,20.8333333333333,12.5,0,0,4.16666666666667,0,0,16.6666666666667,12.5,0,0,4.16666666666667,0,0,0,0,Germanic,English, 
ghats a bad call,Thats a bad call.  ,0,0,4,3.25,0.375,"[(('g', 'h', 'a'), 1), (('h', 'a', 't'), 1), (('a', 't', 's'), 1), (('t', 's', ' '), 1), (('s', ' ', 'a'), 1)]","[(('thats', 'a'), 1), (('a', 'bad'), 1), (('bad', 'call'), 1)]",['titansvschiefs'],[],[],1,0,0,25,0,0,25,25,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,Germanic,English, 
bummed we lost but proud of this season,Bummed we lost but proud of this season!    ,0,0,8,4,0,"[(('b', 'u', 'm'), 1), (('u', 'm', 'm'), 1), (('m', 'm', 'e'), 1), (('m', 'e', 'd'), 1), (('e', 'd', ' '), 1)]","[(('bummed', 'we'), 1), (('we', 'lost'), 1), (('lost', 'but'), 1), (('but', 'proud'), 1), (('proud', 'of'), 1)]","['TitanUp', 'Titans', 'titansvschiefs']",['https://t.co/PKwATidrP5'],[],3,0,0,12.5,0,1,12.5,12.5,0,12.5,12.5,12.5,0,12.5,0,0,0,25,0,0,0,0,0,0,0,Germanic,English, 
col the sucks this is what turned me off from the game calls a hold on the snap it s all rigged,"Lol the  sucks , this is what turned me off from the game. Calls a hold on the snap. It's all rigged    ",0,0,22,3.36363636363636,0.25,"[((' ', 't', 'h'), 4), (('t', 'h', 'e'), 3), (('h', 'e', ' '), 3), (('e', ' ', 's'), 2), (('i', 's', ' '), 2)]","[(('lol', 'the'), 1), (('the', 'sucks'), 1), (('sucks', 'this'), 1), (('this', 'is'), 1), (('is', 'what'), 1)]","['NFL', 'Chiefs', 'titansvschiefs', 'TitanUp']",['https://t.co/oUVUs9mJOn'],[],4,0,0,13.6363636363636,0,1,4.54545454545455,22.7272727272727,4.54545454545455,18.1818181818182,9.09090909090909,13.6363636363636,0,0,4.54545454545455,0,0,13.6363636363636,0,0,4.54545454545455,0,0,0,0,Germanic,English, 
28 straight points for the chiefs,28 straight points for the Chiefs   ,0,0,6,4.66666666666667,0.166666666666667,"[(('2', '8', ' '), 1), (('8', ' ', 's'), 1), ((' ', 's', 't'), 1), (('s', 't', 'r'), 1), (('t', 'r', 'a'), 1)]","[(('28', 'straight'), 1), (('straight', 'points'), 1), (('points', 'for'), 1), (('for', 'the'), 1), (('the', 'chiefs'), 1)]","['titansvschiefs', 'AFCChampionship']",['https://t.co/UO76MxM3wc'],[],2,0,0,0,0,1,16.6666666666667,16.6666666666667,0,16.6666666666667,16.6666666666667,0,0,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,Germanic,English, 
