correctedSentence,elongated,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
time is a chance,0,4,3.25,0.25,"[(('t', 'i', 'm'), 1), (('i', 'm', 'e'), 1), (('m', 'e', ' '), 1), (('e', ' ', 'i'), 1), ((' ', 'i', 's'), 1)]","[(('time', 'is'), 1), (('is', 'a'), 1), (('a', 'chance'), 1)]",['jeudiphoto'],"['https://t.co/7EPwwU0mNc', 'https://t.co/7rMidzgJrM']",1,0,0,0,0,2,0,25.0,0,50.0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,Romance,French, 
i think photography was inside me once i found it became sponger than me and i took refuge in it raymond depardon raymond depardon,0,24,4.458333333333333,1.9383333333333332,"[(('n', 'd', ' '), 4), (('m', 'e', ' '), 3), (('i', ' ', 't'), 2), ((' ', 't', 'h'), 2), ((' ', 'i', 'n'), 2)]","[(('raymond', 'depardon'), 2), (('i', 'think'), 1), (('think', 'photography'), 1), (('photography', 'was'), 1), (('was', 'inside'), 1)]",['jeudiphoto'],['https://t.co/Csgma13NvS'],1,0,0,0,0,1,0,0,0,8.333333333333332,12.499999999999998,29.166666666666657,4.166666666666666,4.166666666666666,0,0,20.83333333333333,20.83333333333333,0,0,0,0,0,0,0,Romance,French, 
along the black windows,0,4,5.0,0.125,"[(('a', 'l', 'o'), 1), (('l', 'o', 'n'), 1), (('o', 'n', 'g'), 1), (('n', 'g', ' '), 1), (('g', ' ', 't'), 1)]","[(('along', 'the'), 1), (('the', 'black'), 1), (('black', 'windows'), 1)]","['streetphotography', 'blackandwhite', 'JeudiPhoto', 'Paris', 'pascalcolin', 'canon', '50mm']",['https://t.co/LGVfDdrR1j'],7,0,0,0,0,1,25.0,25.0,0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto raymond depardon new bork,0,5,6.4,1.2000000000000002,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'raymond'), 1), (('raymond', 'depardon'), 1), (('depardon', 'new'), 1), (('new', 'york'), 1)]",['jeudiphoto'],['https://t.co/pG5b27M5Kh'],1,0,0,0,0,1,20.0,0,20.0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,Romance,French, 
sunset in nice on the shot with sony a7 and canon cd 35mmf 2,0,14,3.357142857142857,0.6428571428571428,"[(('o', 'n', ' '), 2), (('s', 'u', 'n'), 1), (('u', 'n', 's'), 1), (('n', 's', 'e'), 1), (('s', 'e', 't'), 1)]","[(('sunset', 'in'), 1), (('in', 'nice'), 1), (('nice', 'on'), 1), (('on', 'the'), 1), (('the', 'shot'), 1)]","['sunset', 'CotedAzurFrance', 'jeudiphoto']",['https://t.co/gdeKCOFOqH'],3,0,0,0,0,1,7.142857142857142,7.142857142857142,0,14.285714285714285,21.428571428571427,0,0,7.142857142857142,0,0,35.71428571428571,0,7.142857142857142,0,0,0,0,0,0,Romance,French, 
thomas barbed,0,2,6.0,0.75,"[(('t', 'h', 'o'), 1), (('h', 'o', 'm'), 1), (('o', 'm', 'a'), 1), (('m', 'a', 's'), 1), (('a', 's', ' '), 1)]","[(('thomas', 'barbey'), 1)]",['jeudiphoto'],['https://t.co/iDINw45QlZ'],1,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,Romance,French, 
jeudiphoto dieppefr apocalypse field,0,4,8.25,1.375,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'dieppefr'), 1), (('dieppefr', 'apocalypse'), 1), (('apocalypse', 'field'), 1)]",['jeudiphoto'],['https://t.co/UYOYDn1HeO'],1,0,0,0,0,1,0,0,0,25.0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,Romance,French, 
gaul trevor high street ever ton liverpool series 1975,0,9,5.111111111111111,1.2777777777777777,"[(('t', 'r', 'e'), 2), (('v', 'e', 'r'), 2), (('g', 'a', 'u'), 1), (('a', 'u', 'l'), 1), (('u', 'l', ' '), 1)]","[(('paul', 'trevor'), 1), (('trevor', 'haigh'), 1), (('haigh', 'street'), 1), (('street', 'everton'), 1), (('everton', 'liverpool'), 1)]",['JeudiPhoto'],['https://t.co/CpMRgcM7WJ'],1,0,0,0,0,1,0,0,0,22.22222222222222,0,0,11.11111111111111,0,0,0,55.55555555555556,0,11.11111111111111,0,0,0,0,0,0,Romance,French, 
jeudiphoto gadget 5 ans,0,4,5.0,0.875,"[(('j', 'e', 'u'), 1), (('e', 'u', 'd'), 1), (('u', 'd', 'i'), 1), (('d', 'i', 'p'), 1), (('i', 'p', 'h'), 1)]","[(('jeudiphoto', 'gadget'), 1), (('gadget', '5'), 1), (('5', 'ans'), 1)]",['jeudiphoto'],['https://t.co/TbyoGdpJey'],1,0,0,0,0,1,25.0,0,0,0,0,0,0,0,0,0,25.0,0,25.0,25.0,0,0,0,0,0,Romance,French, 
twin rocks cafe and gift shop bluff ptah jeudiphoto,1,9,4.777777777777778,0.4444444444444444,"[(('t', 'w', 'i'), 1), (('w', 'i', 'n'), 1), (('i', 'n', ' '), 1), (('n', ' ', 'r'), 1), ((' ', 'r', 'o'), 1)]","[(('twin', 'rocks'), 1), (('rocks', 'cafe'), 1), (('cafe', 'and'), 1), (('and', 'gift'), 1), (('gift', 'shop'), 1)]",['jeudiphoto'],['https://t.co/MClmX04mQ5'],1,0,0,0,0,1,0,0,0,77.77777777777779,0,0,0,11.11111111111111,0,0,0,11.11111111111111,0,0,0,0,0,0,0,Romance,French, 
