correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
what happened bitch, what happened bitch ?  ,0,0,3,5.666666666666667,0.0,"[(('w', 'h', 'a'), 1), (('h', 'a', 't'), 1), (('a', 't', ' '), 1), (('t', ' ', 'h'), 1), ((' ', 'h', 'a'), 1)]","[(('what', 'happened'), 1), (('happened', 'bitch'), 1)]",['MariesAuPremierRegard'],['https://t.co/efwNszf0P5'],[],1,0,0,33.33333333333333,0,1,0,0,0,33.33333333333333,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Romance,French, 
pesquel hz the new black,"Pesquel iz the new black


 ",0,0,5,4.0,0.6,"[(('p', 'e', 's'), 1), (('e', 's', 'q'), 1), (('s', 'q', 'u'), 1), (('q', 'u', 'e'), 1), (('u', 'e', 'l'), 1)]","[(('pesquel', 'iz'), 1), (('iz', 'the'), 1), (('the', 'new'), 1), (('new', 'black'), 1)]","['MariesAuPremierRegard', 'MariesAu1erRegard']",['https://t.co/iQqSSEjRkh'],[],2,0,0,0,0,1,40.0,20.0,0,0,0,0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,0,Romance,French, 
bravo joachim doucement dais surement are you still together tho,"Bravo Joachim, doucement mais surement ...Are you still together tho ?   ",1,0,10,5.5,0.5,"[(('e', 'm', 'e'), 2), (('m', 'e', 'n'), 2), (('e', 'n', 't'), 2), (('n', 't', ' '), 2), (('b', 'r', 'a'), 1)]","[(('bravo', 'joachim'), 1), (('joachim', 'doucement'), 1), (('doucement', 'mais'), 1), (('mais', 'surement'), 1), (('surement', 'are'), 1)]","['MariesAuPremierRegard', 'mariesau1erregard']",['https://t.co/vWMIDEXC7R'],[],2,0,0,30.0,0,1,0,0,0,0,0,10.0,30.0,0,0,0,30.0,20.0,0,10.0,0,0,0,0,0,Romance,French, 
al a kit non he gets some balls,Il a dit non   he gets some balls ,0,0,8,3.0,0.5625,"[(('a', 'l', ' '), 1), (('l', ' ', 'a'), 1), ((' ', 'a', ' '), 1), (('a', ' ', 'k'), 1), ((' ', 'k', 'i'), 1)]","[(('il', 'a'), 1), (('a', 'dit'), 1), (('dit', 'non'), 1), (('non', 'he'), 1), (('he', 'gets'), 1)]",['MariesAuPremierRegard'],['https://t.co/sh4Qhk4yRc'],[],1,0,0,0,0,1,0,25.0,0,37.5,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,Romance,French, 
he said no,HE SAID... NO !    ,1,1,3,2.6666666666666665,0.3333333333333333,"[(('h', 'e', ' '), 1), (('e', ' ', 's'), 1), ((' ', 's', 'a'), 1), (('s', 'a', 'i'), 1), (('a', 'i', 'd'), 1)]","[(('he', 'said'), 1), (('said', 'no'), 1)]","['MAPR', 'MariesAuPremierRegard', 'MariesAu1erRegard']",['https://t.co/mu4z4o7WDF'],[],3,0,0,66.66666666666666,0,1,0,0,33.33333333333333,0,0,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Romance,French, 
cyril,Cyril....  ,1,0,1,5.0,0.5,"[(('c', 'y', 'r'), 1), (('y', 'r', 'i'), 1), (('r', 'i', 'l'), 1)]",[],['MariesAuPremierRegard'],['https://t.co/It7QSxJhs5'],[],1,0,0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Romance,French, 
domain,Romain    ,0,0,1,6.0,1.0,"[(('d', 'o', 'm'), 1), (('o', 'm', 'a'), 1), (('m', 'a', 'i'), 1), (('a', 'i', 'n'), 1)]",[],"['MariesAu1erRegard', 'MariesAuPremierRegard', 'mapr']",['https://t.co/txnoXm7loc'],[],3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,Romance,French, 
it s divoooooooooorce time,"It's divoooooooooorce time ! 



 ",1,0,4,5.75,1.625,"[(('o', 'o', 'o'), 8), (('i', 't', ' '), 1), (('t', ' ', 's'), 1), ((' ', 's', ' '), 1), (('s', ' ', 'd'), 1)]","[(('it', 's'), 1), (('s', 'divoooooooooorce'), 1), (('divoooooooooorce', 'time'), 1)]","['haveABreak', 'MariesAuPremierRegard', 'MariesAu1erRegard']",['https://t.co/c45JnUVLcq'],[],3,0,0,25.0,0,1,0,0,0,50.0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,Romance,French, 
yes flo queen,YES Elo Queen !!! ,1,1,3,3.6666666666666665,0.6666666666666666,"[(('y', 'e', 's'), 1), (('e', 's', ' '), 1), (('s', ' ', 'f'), 1), ((' ', 'f', 'l'), 1), (('f', 'l', 'o'), 1)]","[(('yes', 'elo'), 1), (('elo', 'queen'), 1)]",['MariesAuPremierRegard'],[],[],1,0,0,33.33333333333333,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,66.66666666666666,0,0,0,0,0,0,0,0,Romance,French, 
its too late to apologize baha,Its too late to apologize haha ,0,0,6,4.166666666666667,0.16666666666666666,"[((' ', 't', 'o'), 2), (('i', 't', 's'), 1), (('t', 's', ' '), 1), (('s', ' ', 't'), 1), (('t', 'o', 'o'), 1)]","[(('its', 'too'), 1), (('too', 'late'), 1), (('late', 'to'), 1), (('to', 'apologize'), 1), (('apologize', 'haha'), 1)]",['MariesAuPremierRegard'],[],[],1,0,0,0,0,0,16.666666666666664,0,16.666666666666664,0,16.666666666666664,0,16.666666666666664,0,16.666666666666664,0,0,16.666666666666664,0,0,0,0,0,0,0,Romance,French, 
