correctedSentence,originalSentence,elongated,caps,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,hashtag,url,atUser,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
look our country is very big," look , our country is very big ",0,0,6,3.8333333333333335,0.0,"[(('r', 'y', ' '), 2), (('l', 'o', 'o'), 1), (('o', 'o', 'k'), 1), (('o', 'k', ' '), 1), (('k', ' ', 'o'), 1)]","[(('look', 'our'), 1), (('our', 'country'), 1), (('country', 'is'), 1), (('is', 'very'), 1), (('very', 'big'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/gV6qrEOzRB'],[],1,0,0,16.666666666666664,0,1,16.666666666666664,16.666666666666664,0,16.666666666666664,0,0,16.666666666666664,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
we can do this together moon,"We can do this together,Joon
 ",0,0,6,3.8333333333333335,0.25,"[(('w', 'e', ' '), 1), (('e', ' ', 'c'), 1), ((' ', 'c', 'a'), 1), (('c', 'a', 'n'), 1), (('a', 'n', ' '), 1)]","[(('we', 'can'), 1), (('can', 'do'), 1), (('do', 'this'), 1), (('this', 'together'), 1), (('together', 'joon'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/cfEQmsNz66'],[],1,0,0,16.666666666666664,0,1,0,0,0,0,0,33.33333333333333,16.666666666666664,0,0,0,16.666666666666664,33.33333333333333,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia i want ats in prussia,"I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA


 ",0,33,55,3.4,0.7,"[(('i', ' ', 'w'), 11), ((' ', 'w', 'a'), 11), (('w', 'a', 'n'), 11), (('a', 'n', 't'), 11), (('n', 't', ' '), 11)]","[(('i', 'want'), 11), (('want', 'bts'), 11), (('bts', 'in'), 11), (('in', 'russia'), 11), (('russia', 'i'), 10)]",['BTSTOUR2020_RUSSIA'],['https://t.co/7Qpccx03jj'],[],1,0,0,0,0,1,0,0,0,19.999999999999996,19.999999999999996,19.999999999999996,0,0,0,0,19.999999999999996,19.999999999999996,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
i mean this thanks,i mean this. THIS. thanks  ,0,1,4,3.75,0.475,"[((' ', 't', 'h'), 2), (('i', ' ', 'm'), 1), ((' ', 'm', 'e'), 1), (('m', 'e', 'a'), 1), (('e', 'a', 'n'), 1)]","[(('i', 'mean'), 1), (('mean', 'this'), 1), (('this', 'this'), 1), (('this', 'thanks'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/AEnqCavBWC'],[],1,0,0,50.0,0,1,0,0,0,25.0,0,75.0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
let you repeat it again,"
Let you repeat it again? ",0,0,5,3.8,0.2,"[(('l', 'e', 't'), 1), (('e', 't', ' '), 1), (('t', ' ', 'y'), 1), ((' ', 'y', 'o'), 1), (('y', 'o', 'u'), 1)]","[(('let', 'you'), 1), (('you', 'repeat'), 1), (('repeat', 'it'), 1), (('it', 'again'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/mzmQA6to3G'],[],1,0,0,20.0,0,1,0,0,0,0,0,40.0,20.0,0,0,0,0,40.0,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
please you haven been there for 7 years,Please.... You havent been there for 7 years!  ,1,0,8,4.0,0.1875,"[(('e', 'n', ' '), 2), (('p', 'l', 'e'), 1), (('l', 'e', 'a'), 1), (('e', 'a', 's'), 1), (('a', 's', 'e'), 1)]","[(('please', 'you'), 1), (('you', 'havent'), 1), (('havent', 'been'), 1), (('been', 'there'), 1), (('there', 'for'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/2VrhLA0qHL'],[],1,0,0,25.0,0,1,0,0,0,12.5,12.5,12.5,12.5,0,0,0,0,37.5,12.5,0,0,0,0,0,0,Balto-Slavic,Russian, 
please let me see my heroes,Please let me see my heroes  ,0,0,6,3.6666666666666665,0.16666666666666666,"[(('p', 'l', 'e'), 1), (('l', 'e', 'a'), 1), (('e', 'a', 's'), 1), (('a', 's', 'e'), 1), (('s', 'e', ' '), 1)]","[(('please', 'let'), 1), (('let', 'me'), 1), (('me', 'see'), 1), (('see', 'my'), 1), (('my', 'heroes'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/KHOpBMMlN7'],[],1,0,0,0,0,1,0,16.666666666666664,0,16.666666666666664,0,16.666666666666664,0,0,0,0,0,49.99999999999999,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
you are already half prussian we guy understood this a long time ago you gave yourself away,"You are already half Russian (we guys understood this a long time ago) you gave yourself away
 ",0,0,17,4.411764705882353,0.14705882352941177,"[(('y', 'o', 'u'), 3), (('o', 'u', ' '), 2), (('e', ' ', 'a'), 2), (('l', 'f', ' '), 2), ((' ', 'y', 'o'), 2)]","[(('you', 'are'), 1), (('are', 'already'), 1), (('already', 'half'), 1), (('half', 'russian'), 1), (('russian', 'we'), 1)]",['BTSTOUR2020_RUSSIA'],['https://t.co/oSzQYfuqJd'],[],1,0,0,11.76470588235294,0,1,11.76470588235294,5.88235294117647,0,11.76470588235294,0,29.41176470588235,23.52941176470588,0,0,0,0,17.64705882352941,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
this is me every year when ats inst coming to prussia again,"this is me every year when bts isnt coming to russia again: 
",0,0,12,4.0,0.375,"[(('i', 's', ' '), 2), (('s', ' ', 'i'), 2), (('t', 'h', 'i'), 1), (('h', 'i', 's'), 1), ((' ', 'i', 's'), 1)]","[(('this', 'is'), 1), (('is', 'me'), 1), (('me', 'every'), 1), (('every', 'year'), 1), (('year', 'when'), 1)]",['BTSTOUR2020_RUSSIA'],[],[],1,0,0,8.333333333333332,0,0,0,8.333333333333332,0,16.666666666666664,8.333333333333332,16.666666666666664,16.666666666666664,0,0,0,8.333333333333332,24.999999999999996,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
please," 
PLEASE ",0,1,1,6.0,0.0,"[(('p', 'l', 'e'), 1), (('l', 'e', 'a'), 1), (('e', 'a', 's'), 1), (('a', 's', 'e'), 1)]",[],"['BTSinRussia2020', 'BTSTOUR2020_RUSSIA']",['https://t.co/UoBYSD6BzX'],[],2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,Balto-Slavic,Russian, 
